"000c_the_summer_before" "001c_kristys_great_idea" "002c_claudia_and_the_phantom_phone_calls" "003c_the_truth_about_stacey" "004c_mary_anne_saves_the_day" "005c_dawn_and_the_impossible_three" "006c_kristys_big_day" "007c_claudia_and_mean_jeanine" "008c_boy_crazy_stacey" "009c_the_ghost_at_dawns_house" "010c_logan_likes_mary_anne" "011c_kristy_and_the_snobs" "012c_claudia_and_the_new_girl" "013c_goodbye_stacey_goodbye" "014c_hello_mallory" "015c_little_miss_stoneybrook_and_dawn" "016c_jessis_secret_language" "017c_mary_annes_bad_luck_mystery" "018c_staceys_mistake" "019c_claudia_and_the_bad_joke" "020c_kristy_and_the_walking_disaster" "021c_mallory_and_the_trouble_with_twins" "022c_jessi_ramsey_petsitter" "023c_dawn_on_the_coast" "024c_kristy_and_the_mothers_day_surprise" "025c_mary_anne_and_the_search_for_tigger" "026c_claudia_and_the_sad_goodbye" "027c_jessi_and_the_superbrat" "028c_welcome_back_stacey" "029c_mallory_and_the_mystery_diary" "030c_mary_anne_and_the_great_romance" "031c_dawns_wicked_stepsister" "032c_kristy_and_the_secret_of_susan" "033c_claudia_and_the_great_search" "034c_mary_anne_and_too_many_boys" "035c_stacey_and_the_mystery_of_stoneybrook" "036c_jessis_babysitter" "037c_dawn_and_the_older_boy" "038c_kristys_mystery_admirer" "039c_poor_mallory" "040c_claudia_and_the_middle_school_mystery" "041c_mary_anne_vs_logan" "042c_jessi_and_the_dance_school_phantom" "043c_staceys_emergency" "044c_dawn_and_the_big_sleepover" "045c_kristy_and_the_baby_parade" "046c_mary_anne_misses_logan" "047c_mallory_on_strike" "048c_jessis_wish" "049c_claudia_and_the_genius_of_elm_street" "050c_dawns_big_date" "051c_staceys_ex_best_friend" "052c_mary_anne_plus_too_many_babies" "053c_kristy_for_president" "054c_mallory_and_the_dream_horse" "055c_jessis_gold_medal" "056c_keep_out_claudia" "057c_dawn_saves_the_planet" "058c_staceys_choice" "059c_mallory_hates_boys_and_gym" "060c_mary_annes_makeover" "061c_jessi_and_the_awful_secret" "062c_kristy_and_the_worst_kid_ever" "063c_claudias_freind_friend" "064c_dawns_family_feud" "065c_staceys_big_crush" "066c_maid_mary_anne" "067c_dawns_big_move" "068c_jessi_and_the_bad_babysitter" "069c_get_well_soon_mallory" "070c_stacey_and_the_cheerleaders" "071c_claudia_and_the_perfect_boy"
"000c_the_summer_before" 0 1.08075817795928 1.02841225030234 1.06777590154955 0.998200031937608 1.04982554191727 1.1368611432365 1.03714604504149 1.0548551536138 1.07179120324247 0.987098978196533 1.03839075687893 1.06924727516199 1.09635309335872 1.11292170724175 1.12828865643426 1.05944998054345 1.11275179465333 1.08974178968088 0.9669088305165 1.12349955891432 1.16777647183736 1.09730608248332 1.16456457702807 1.09933951373364 1.06682172808396 0.957532450597163 1.17902703688391 1.05964317359633 1.15969557374307 1.03119448112119 1.0535682152951 1.05109872551799 1.01269096328259 1.14844428966094 1.22886954094315 1.10842016700433 1.19698846924584 1.05455351336693 1.0908865661423 1.16854966049301 1.01735071964627 1.19344891292217 1.03250534423714 1.13066383241967 1.20958761518246 1.02048611158539 1.15589272891296 1.13986293191641 1.0533340274719 1.10412830379636 1.09505095749899 1.12115307598986 1.2087400988841 1.1345598525108 1.14722192373108 1.10722628140093 1.22636943719258 1.07442669459373 1.08200440989469 1.11527400002271 1.10435490432148 1.16487619906139 1.08987565990704 1.20908713270975 1.08962677812006 1.11581720008891 1.07520410318927 1.22310047270462 1.19897950411023 1.03226606519178 1.15811815323825
"001c_kristys_great_idea" 1.08075817795928 0 0.835529505648737 0.877432560857356 0.842914710158766 0.846572187435446 0.954338581389582 0.867724321734646 0.981423591966101 1.09181941906894 0.901103078598915 0.928047385072033 0.997604227893429 1.01576852222011 0.978222632801255 1.01123240116406 1.04945570764231 1.03163448730356 1.10185409160651 0.917544463002259 1.03253589144473 1.08206027057038 0.998734217489527 1.15880039072453 0.995178014784922 0.970994467021325 1.09430946905335 1.19124910335704 1.06837928264206 1.05882176124159 1.07485880013677 1.05050533873854 1.03052843853251 1.10289214648076 1.17019047240949 1.29402663870026 1.02664410472622 1.16245670866787 0.983691119616989 1.03307386178609 1.20232199676778 0.961298642664777 1.19890796847945 1.00775270886703 1.11174685251208 1.1812857542757 1.13770463862965 1.19119664252055 1.18264794456986 1.08888120433384 1.06994731255971 1.06733294872221 1.0923948392792 1.17959257251069 1.19827355952059 1.119967143744 1.08507824342577 1.21364330005329 1.08737885345267 1.1513925181819 1.18311387812513 1.13066374541741 1.1061174863187 1.08026586409862 1.17263486958896 1.10990505986821 1.12957716715856 1.04991006591399 1.07477480178949 1.19715202210164 1.1230671788136 1.1762864223607
"002c_claudia_and_the_phantom_phone_calls" 1.02841225030234 0.835529505648737 0 0.953821050729311 0.84215792370381 0.899939874326499 1.06856451011263 0.917067931423045 1.04255332025984 0.971739469103187 0.924413446842017 0.949588598474912 0.971825444533074 1.07082330986468 1.02696667749214 0.972866762833773 1.04419685783158 0.982869344204048 1.10214720826432 0.885014862567286 1.11260126157769 1.10054889743852 0.997420458627568 1.13526872759743 1.10226916444648 0.929574619827018 1.04596768002711 1.10473932044134 1.06495983614399 1.00888308465285 1.16055097900227 1.05689328880409 0.957782434087879 1.06208988641908 1.12797233437441 1.21818137282523 1.05303229527043 1.12398296954213 0.989265538666777 1.0864886839322 1.12016036838802 1.01920208775567 1.14204516653282 1.02149698415806 1.06106464911654 1.15352748552647 1.01222492771414 1.08349812577452 1.13611933796733 0.988743090969327 1.00458831828057 1.06366582985153 1.07382889520626 1.13235726523043 1.08104390857638 1.07883773407452 1.01774264771079 1.1162412949585 1.0356200343133 1.09663578036456 1.06569877709877 1.05736652844543 1.09075966615915 0.99641252996258 1.15453177007033 1.04453943085987 1.08012647468588 1.05659064465771 1.07763304245454 1.17623143250055 1.0445061885405 1.11898570054457
"003c_the_truth_about_stacey" 1.06777590154955 0.877432560857356 0.953821050729311 0 0.886122080834991 0.933915260313161 1.0312177948837 0.950613356578281 1.06228281351496 1.14208459744308 0.951363376632971 0.964404208182277 1.00892133102713 0.982793871526416 0.965238954837148 1.00004004182009 1.02083268856236 1.01368706361474 1.03111830334137 0.929212167943794 1.01019996917725 1.08525495270116 0.961641772545876 1.21019049057407 1.05972344000975 0.980609395275554 0.977740214018609 1.21999558844239 1.03079893353064 1.08554098158721 1.06468616053532 1.02512511870472 1.04022840060767 1.02973473618532 1.20753718260589 1.3140051198709 0.937456183975478 1.15490693257334 1.01281550068622 0.995515436742039 1.17946259966155 0.973314147557566 1.23822981871986 0.961101316817747 1.08117696702951 1.1631729191382 1.08321572148281 1.25863119726831 1.04291628562305 1.05646647880845 1.07178917074583 0.999022102318535 1.00623885449026 1.19487102633053 1.22329617799099 1.16461794675576 1.00783437093864 1.17068179735017 1.04567497870336 1.14068959950821 1.13899306658815 1.06627598744905 1.22733674891841 1.09557255401015 1.16972568853375 1.1648859216822 1.15114765111627 1.08554585977609 1.09095815312661 1.12248151491414 1.06589598095493 1.12471349315507
"004c_mary_anne_saves_the_day" 0.998200031937608 0.842914710158766 0.84215792370381 0.886122080834991 0 0.867026872248271 1.08430646834356 0.906866172986139 1.03088960062434 1.10799905745128 0.867941197594621 0.939900486545018 0.941319275838525 1.01427763292386 0.982773844419122 1.03785440408433 1.03922185891582 1.04089530861228 1.08962430095158 0.900073329792014 1.10636878915552 1.08328391163636 0.990352205176529 1.18901078686055 1.09916317513142 0.977186116961738 1.03048829893561 1.18517893709339 1.04341980101336 1.07086927232738 1.0258289254633 1.01497176043058 1.04435956280479 1.05735520345266 1.15984336876628 1.27032413111658 1.0263672213124 1.21693591573994 1.03336704259457 1.06087209526006 1.20913561226084 0.931477913545436 1.20556467895901 0.991161852140021 1.11883422533305 1.15593815490412 1.05810267744087 1.11282959346707 1.09454990150429 1.04139334454558 1.11011425138217 1.05606779846265 1.08639159018787 1.16217439624328 1.10450250068486 1.14621256959467 1.06386226089421 1.18091428114761 1.01717608098392 1.10667801049925 1.09153931817322 1.13016519103308 1.13624084636332 1.04585585252986 1.19365705950885 1.10856769063382 1.08219099100658 1.08466623477472 1.06972663540452 1.15048573711842 1.06260895331292 1.17907672444269
"005c_dawn_and_the_impossible_three" 1.04982554191727 0.846572187435446 0.899939874326499 0.933915260313161 0.867026872248271 0 0.942540373479602 0.890758642601858 0.897172794370444 0.996370609036472 0.957837686092465 0.892634812589316 0.997317651244182 0.923697023558223 0.988613329989023 1.00296618689114 1.00341697562642 0.99598663994056 1.03538235899469 0.934741924149953 1.01176902087483 1.07196865772973 0.953844162473142 1.08794061570795 1.03250210035064 0.971079753135035 1.05450493320116 1.13684391607715 1.05355177659026 0.996437745283354 1.01990328364408 1.00843166159387 0.984981745197602 1.06618757379428 1.13195497725955 1.24378255313736 0.996534379500705 1.12263052827252 0.953542787627627 1.00912176410859 1.20376115863751 0.945242044375949 1.11404967210534 1.04769188583164 1.03617449068245 1.14156678907264 1.04091658227812 1.05361490882148 1.04222544632242 1.00240952230024 1.06529450057975 1.05879552327477 1.01235264177115 1.12742125047653 1.08897652619844 1.07548299362797 1.01015051730663 1.09537944128456 0.973686313064824 1.09910037562532 1.11145650287914 1.08597687960164 1.05319182392872 1.0636594434952 1.02110299771281 1.05593707978097 1.03087292719798 1.05421302376149 1.01719172081358 1.11589864547481 1.06226089617022 1.17551566039142
"006c_kristys_big_day" 1.1368611432365 0.954338581389582 1.06856451011263 1.0312177948837 1.08430646834356 0.942540373479602 0 0.967222182329482 0.983514522972482 1.08100700893609 1.03499708727281 0.921950751267621 1.18084462961674 0.97993287632307 1.13115644334204 1.0785508870068 1.11184904915448 1.04664142456371 1.07334671684429 1.11273512313948 1.03951790000273 1.09752181247939 1.03658605488911 1.13363570026089 0.947751186921288 1.13467126048545 1.17988609960593 1.23495765724935 1.13311744547323 1.09116481436014 1.10156817801841 1.08565184842087 1.12873115747652 1.12138445321637 1.22680795783205 1.3087084677412 1.06455055058073 1.27514214480059 1.02070667645157 1.14302345584134 1.33131793306493 1.07122108844191 1.20425610087661 1.19084902358355 1.08703324795251 1.13435563004517 1.10737784836087 1.14662609802287 1.11184950232122 1.08953666939822 1.18397865781206 1.08239345214198 1.14702636432044 1.22270776625645 1.14335459780662 1.14070173096851 1.11396092068943 1.08361307329729 1.07027316185699 1.14770253804207 1.21255026294313 1.13549555119541 1.10052761162588 1.19368090386266 1.05743938629662 1.16621157146954 1.20291278265044 1.06813995169643 1.12920312596342 1.12127984083361 1.1720702323871 1.27617415357126
"007c_claudia_and_mean_jeanine" 1.03714604504149 0.867724321734646 0.917067931423045 0.950613356578281 0.906866172986139 0.890758642601858 0.967222182329482 0 0.976672862454321 1.03980706450174 0.993914423230108 0.891145973824418 0.989016255114594 0.950016468362908 1.01235911789006 0.934630521416012 0.965634169702775 0.990992886134395 1.04229272402222 0.897057989717836 0.998175802691873 1.04591113169788 0.970708975891605 1.09215963303344 1.00864245736225 0.95224887445864 0.927541392705388 1.14606986713224 1.06147049867628 1.01168291010888 1.01450385607121 0.985307543942167 0.983956122551642 1.00979101158769 1.12988363462742 1.2125569743106 0.95966084312624 1.13696540578416 0.93564879320158 1.01424232705648 1.15429707076286 0.932738834423885 1.10098535428642 0.990948882545994 1.0243705228221 1.05373859920584 1.0128723904924 1.0968820133978 1.06713104245413 0.951809426984723 1.1048774333857 1.0754805970498 1.02408869595852 1.09332595542062 1.0534119482522 1.09786611011871 1.03598198594772 1.097577059775 1.02336569116017 1.08722505757282 1.13782477214635 1.05246403283184 1.07896921830726 1.04305770303108 1.09838530903387 1.11977050895042 1.10697753342642 1.03324381921096 1.05951906113544 1.07156759391358 1.08787087510854 1.1404303128223
"008c_boy_crazy_stacey" 1.0548551536138 0.981423591966101 1.04255332025984 1.06228281351496 1.03088960062434 0.897172794370444 0.983514522972482 0.976672862454321 0 0.942186646997249 0.971197465944164 0.985819272253829 1.14380027554958 1.0189985506356 1.08199812433342 1.0530481823242 1.08714385540929 1.03963015621324 1.00558027074534 1.06289454567254 1.01700540076229 1.09693541856143 1.08788442113672 1.11324413368173 1.09687839735764 1.0739241175658 1.18064225725628 1.20327479895481 1.11069171962607 1.1308511966396 1.13966881689678 1.07618951083629 1.11616038082824 1.15354892678918 1.06627994714504 1.20809161261283 1.1047030070895 1.16770027580402 1.0347707334273 1.18992905669037 1.24712207922479 1.07394492972003 1.18744059846311 1.15535550149209 1.10834891617548 1.17820202332483 1.17239202499368 1.13377537706293 1.1971618207269 1.1070185283243 1.14093981748078 1.11641672379366 1.14937562678677 1.21760091356575 1.06992749509433 1.07767370031044 1.16720776557293 1.1948873391539 1.12288617447695 1.11322342173034 1.12485930115221 1.16149009663095 1.12191324093722 1.15913536868941 1.01797308234633 1.04751092481256 1.14522456944633 1.06013425302892 1.20826109232633 1.15281684505834 1.0855187401672 1.24597656741399
"009c_the_ghost_at_dawns_house" 1.07179120324247 1.09181941906894 0.971739469103187 1.14208459744308 1.10799905745128 0.996370609036472 1.08100700893609 1.03980706450174 0.942186646997249 0 0.984711580515983 0.995035417463616 1.08056353777332 1.04981655676816 1.11447607534307 1.07695135368753 1.08549001257644 1.02115814695654 1.02798240878412 1.01409134019078 1.09411957380035 1.18042075142401 1.07069852647618 1.0500488534764 1.14845634785317 1.03952173716987 1.15701328735802 1.17299441488989 1.12142317827453 1.03067756780262 1.15646361962547 1.05244049234983 1.12862900433673 1.145935073115 1.11277775265513 1.15785281613382 1.14218146571867 1.23847060845551 1.05509954710725 1.1709454974668 1.22049490000831 1.10626060266703 1.14147280068721 1.13770519347233 1.05373401825086 1.17589039977327 1.1170632612647 1.16071284028952 1.2530978510591 1.11462950238322 1.12014075607929 1.18710527362387 1.20641593920858 1.19345140026707 1.1435480876118 1.06104015536659 1.21279972015965 1.22871648722115 1.16951394147769 1.08267225935067 1.0538127481533 1.14938175316927 1.08127436097616 1.12109371746365 1.15920712179326 1.03671704580657 1.08293419578739 1.08123092336477 1.19171438252991 1.23099441663633 1.05683843180889 1.22611562745738
