"000c_the_summer_before" "001c_kristys_great_idea" "002c_claudia_and_the_phantom_phone_calls" "003c_the_truth_about_stacey" "004c_mary_anne_saves_the_day" "005c_dawn_and_the_impossible_three" "006c_kristys_big_day" "007c_claudia_and_mean_jeanine" "008c_boy_crazy_stacey" "009c_the_ghost_at_dawns_house" "010c_logan_likes_mary_anne" "011c_kristy_and_the_snobs" "012c_claudia_and_the_new_girl" "013c_goodbye_stacey_goodbye" "014c_hello_mallory" "015c_little_miss_stoneybrook_and_dawn" "016c_jessis_secret_language" "017c_mary_annes_bad_luck_mystery" "018c_staceys_mistake" "019c_claudia_and_the_bad_joke" "020c_kristy_and_the_walking_disaster" "021c_mallory_and_the_trouble_with_twins" "022c_jessi_ramsey_petsitter" "023c_dawn_on_the_coast" "024c_kristy_and_the_mothers_day_surprise" "025c_mary_anne_and_the_search_for_tigger" "026c_claudia_and_the_sad_goodbye" "027c_jessi_and_the_superbrat" "028c_welcome_back_stacey" "029c_mallory_and_the_mystery_diary" "030c_mary_anne_and_the_great_romance" "031c_dawns_wicked_stepsister" "032c_kristy_and_the_secret_of_susan" "033c_claudia_and_the_great_search" "034c_mary_anne_and_too_many_boys" "035c_stacey_and_the_mystery_of_stoneybrook" "036c_jessis_babysitter" "037c_dawn_and_the_older_boy" "038c_kristys_mystery_admirer" "039c_poor_mallory" "040c_claudia_and_the_middle_school_mystery" "041c_mary_anne_vs_logan" "042c_jessi_and_the_dance_school_phantom" "043c_staceys_emergency" "044c_dawn_and_the_big_sleepover" "045c_kristy_and_the_baby_parade" "046c_mary_anne_misses_logan" "047c_mallory_on_strike" "048c_jessis_wish" "049c_claudia_and_the_genius_of_elm_street" "050c_dawns_big_date" "051c_staceys_ex_best_friend" "052c_mary_anne_plus_too_many_babies" "053c_kristy_for_president" "054c_mallory_and_the_dream_horse" "055c_jessis_gold_medal" "056c_keep_out_claudia" "057c_dawn_saves_the_planet" "058c_staceys_choice" "059c_mallory_hates_boys_and_gym" "060c_mary_annes_makeover" "061c_jessi_and_the_awful_secret" "062c_kristy_and_the_worst_kid_ever" "063c_claudias_freind_friend" "064c_dawns_family_feud" "065c_staceys_big_crush" "066c_maid_mary_anne" "067c_dawns_big_move" "068c_jessi_and_the_bad_babysitter" "069c_get_well_soon_mallory" "070c_stacey_and_the_cheerleaders" "071c_claudia_and_the_perfect_boy"
"000c_the_summer_before" 0 1.16833005758693 1.133756466494 1.12599953921879 1.03500168022619 1.08477969647822 1.17580788604796 1.09877487529983 1.17768778813502 1.15833447747894 1.03989837816585 1.1429214083566 1.11338854867765 1.14861313122025 1.21246546943663 1.21534252665864 1.08323859970104 1.15686234595532 1.14207596039403 0.987816056237081 1.18957203730065 1.24613262025324 1.15678419362972 1.25909312879245 1.20233902136333 1.14647350638506 0.982489020469167 1.28948982334725 1.08085968723538 1.23299827598071 1.07775645059697 1.11698355662506 1.10554762189945 0.984795257756138 1.29937686313729 1.37736298161827 1.17173899811013 1.31747639052257 1.06510291203855 1.13050833336677 1.27509680067798 1.04145347444505 1.24402198013143 1.09227340387614 1.25314389886464 1.30816036732704 1.00926497684099 1.2217742601199 1.19446297902435 1.12669216201077 1.21837405312287 1.13552974184833 1.19579796684786 1.24036161520436 1.12489362671926 1.23948569079201 1.17566010131314 1.29869912883591 1.03994685338143 1.09500666541142 1.20211826747005 1.16225703931919 1.2196735689482 1.13013707627528 1.29536834987603 1.18675494017519 1.20635971172705 1.14293986362787 1.26435291781962 1.30072596222004 1.1095801422011 1.21515880309162
"001c_kristys_great_idea" 1.16833005758693 0 0.845407942060179 0.901608725571748 0.857309812551282 0.813373051071151 0.937017295490671 0.843369826148744 1.01100741881083 1.14157721512897 0.891680110335479 0.935488164919894 0.971798795322252 1.00521700451142 0.950298191013329 1.00927376812317 1.02403013287893 1.01853969362389 1.1250867299213 0.923914040654626 1.08880642308793 1.11015991925399 0.994446687343465 1.16038027874504 1.04666885576309 0.902371831672187 1.13876627514481 1.22261128694149 1.12478000874811 1.08144763846497 1.09003146717672 1.09209778409758 1.04305520491941 1.105172522696 1.24155842346731 1.42293672941701 1.00585966519545 1.20037298111237 0.996579503850744 1.09070189169674 1.25810999069276 0.957849500600364 1.18472796671442 1.06804274412398 1.14757199255767 1.21719215405524 1.1441207602972 1.27426370561072 1.22167043499647 1.06764013527097 1.09927909641748 1.07273890071891 1.10848144760908 1.14043870240431 1.21284581178621 1.10970464678132 1.11321512708952 1.26962983595384 1.12523854471388 1.16590351511961 1.20082065357143 1.1573265901152 1.10026950794062 1.06553325777391 1.18703454426265 1.12972827352341 1.15275351971624 1.00651694582846 1.07507535796026 1.24709473144469 1.16856964679497 1.19018074734651
"002c_claudia_and_the_phantom_phone_calls" 1.133756466494 0.845407942060179 0 0.98552810013405 0.855378848877 0.885136197641735 1.06351839592279 0.909382443795396 1.11348008132945 1.0237790668221 0.950872348658598 0.924611951780744 0.964265195432574 1.08318621686467 1.04688318767984 0.974805899745225 1.02041298892718 0.963487678753879 1.11695265437915 0.903330042931042 1.14881098399755 1.13802410574896 0.978919064530454 1.13906122486841 1.13732284439096 0.894847848979358 1.15295002756302 1.13955470741827 1.14140632206018 1.01071532905109 1.16889300961209 1.11692554026008 0.94931634829367 1.0111247798887 1.22020256560451 1.34121594146125 1.06520108277158 1.1920496115822 0.94466313742405 1.10134506523881 1.18715930019889 1.03380701291365 1.15745088950192 1.06872780482284 1.08893463844651 1.22273869742043 1.01363564090471 1.1527859506135 1.16406827873116 1.0055281179911 1.06546697665403 1.05815696161213 1.08200542244934 1.13610235100807 1.08328885671482 1.11740373280696 1.04019552155411 1.12525136563395 1.05136339691359 1.10133234719287 1.12140098468635 1.12345741583793 1.10788448631498 1.00711341982947 1.17413502338744 1.10177688591911 1.11544673000326 1.05821314257099 1.09674793701211 1.19851524080142 1.1066090679845 1.14360621887986
"003c_the_truth_about_stacey" 1.12599953921879 0.901608725571748 0.98552810013405 0 0.899164250192802 0.929294249076788 1.05574482747991 0.922860497695186 1.13454958138705 1.19315384040053 0.935294469253172 0.986916978481963 0.95816153708068 0.92369519909109 0.949420329473264 1.00749942257631 0.961962142716022 0.969766580296843 1.01965509316068 0.932478605531029 1.04672457321983 1.07957200544009 0.960974652188675 1.2686539941338 1.12579330084524 0.975089941392985 0.997597630933951 1.25154386795043 1.03838072956406 1.0991803380889 1.05982718978298 1.07877560192126 1.05815348163724 1.03430106510425 1.29777775231972 1.47808035016556 0.911723027700543 1.20438650296126 0.984363508156104 1.03060637689609 1.19717964443587 0.935529265468929 1.21808844425553 0.99463039313997 1.15046327896826 1.19479942902086 1.06213511414792 1.38342179078896 1.07951956068139 1.06537841404423 1.10353312840162 0.950824397872108 1.03997735606853 1.16754474883516 1.25511243258382 1.17447774860078 1.00781882387817 1.22538160347019 1.059218698283 1.13250905357146 1.16037236894989 1.08198188214727 1.27323685465558 1.10311965948608 1.20367188889102 1.23354401552841 1.19871568676922 1.05419537933858 1.09843874094157 1.16932913272264 1.08356217744343 1.12138162683621
"004c_mary_anne_saves_the_day" 1.03500168022619 0.857309812551282 0.855378848877 0.899164250192802 0 0.790716847501449 1.05582821379729 0.89412872638533 1.08613726691346 1.14534937865875 0.880872809860607 0.927834583029344 0.876123524542671 0.973327760963015 0.963135345730186 1.04693190444196 1.02523894558437 1.02204754247918 1.11348193412865 0.846082608368259 1.13241257625764 1.09665428551454 1.01435612914592 1.1783667248498 1.12413807933134 0.981080004284193 1.03060034026616 1.24118508839323 1.04598545794897 1.09285894389959 1.00766125451052 1.06065106436682 1.04793160796567 1.03205724327815 1.21800199980273 1.35811125836459 1.02776398619106 1.260711674095 1.00122398575582 1.09593913653271 1.24984370631817 0.916935560451494 1.1728705342636 1.04455084407529 1.14061927047427 1.19052201376091 1.03098553151165 1.13323445752825 1.11449546614598 1.0325950563002 1.13073443315976 1.01219687119039 1.08414441666764 1.11941071375876 1.06255035541714 1.135867559797 1.07686750960817 1.1545281954933 1.01890722046553 1.08285827967949 1.08806007946828 1.16397590058861 1.12553933227711 1.03336428332803 1.21201071947081 1.1138933448059 1.08090304348206 1.05047908871849 1.05917708632808 1.17124789715435 1.10109027917732 1.20211643088682
"005c_dawn_and_the_impossible_three" 1.08477969647822 0.813373051071151 0.885136197641735 0.929294249076788 0.790716847501449 0 0.89702692346668 0.830552992140545 0.87041673524311 0.991647062290302 0.914833948808137 0.833432616604683 0.976661948757645 0.87568401279596 0.944722041511414 1.01772462277105 0.948419642005951 0.979607725022793 1.01958092991353 0.881438127504751 1.00310832122543 1.06276604947322 0.920420458415879 1.07356637164107 1.05408806887676 0.908322546884688 1.08435639734781 1.17553906906784 1.06748120616996 0.996644202026722 0.975641365644953 1.01987223396551 0.961950034714544 1.05131534090558 1.1448616688067 1.32239966549986 0.948074612176251 1.14245142808094 0.944705685350548 1.01937995874859 1.20237598622821 0.895253504535266 1.08372787950678 1.08893637146129 1.04905847309396 1.15709937882155 1.03051861553761 1.06108180893319 1.03407828808755 0.956517845503739 1.07220369576854 0.998693756235089 1.02203226399607 1.09272107689885 1.05081901107693 1.07557336388138 1.0107950239736 1.11215712816732 0.946608437696162 1.03730720739221 1.11208885162332 1.06651255036111 1.03314282411719 1.04459148479451 1.01019356896263 1.05767992638085 1.02864810384008 1.02198357756896 1.00214477953151 1.1251760353231 1.08073340730739 1.19562775305353
"006c_kristys_big_day" 1.17580788604796 0.937017295490671 1.06351839592279 1.05574482747991 1.05582821379729 0.89702692346668 0 0.940075679624566 0.971404618886095 1.10496514770402 1.02586077100053 0.908366408825194 1.16395761053198 0.941589096358455 1.14807366527783 1.08970746730243 1.0942126163869 1.03485418860819 1.04871881392754 1.12534406379539 1.05972942975257 1.10932770042617 1.02425240304417 1.14158030068671 0.987247483701216 1.12221497029472 1.23685989743635 1.24969795575397 1.15825448353692 1.12111585594887 1.10052683529582 1.13708185870642 1.12768671025849 1.09774900803775 1.25634910632485 1.37996002343077 1.02924128489896 1.30773404004579 1.0381295118091 1.18997818467461 1.34566105619346 1.0490528995934 1.19412828037755 1.2692075404045 1.10798480509066 1.12449272312835 1.09393372853905 1.15912618545892 1.10350580708069 1.07383237832921 1.24403519910031 1.03353248334603 1.14159667953152 1.16196721745956 1.10953648050495 1.13751061956124 1.16025288475971 1.09192862564391 1.04920436040114 1.1281894166047 1.23949093196424 1.11865264011725 1.04350409109125 1.14448144585121 1.03632836913438 1.19851357212109 1.20547170624922 1.06748644069267 1.11620485362393 1.1354924232449 1.19365261422734 1.29736661085867
"007c_claudia_and_mean_jeanine" 1.09877487529983 0.843369826148744 0.909382443795396 0.922860497695186 0.89412872638533 0.830552992140545 0.940075679624566 0 1.03755889013604 1.07078138096628 0.975032768223948 0.844981266217851 0.968474024533249 0.939447938141755 1.01158902989088 0.925917604769074 0.964248419943331 0.94472229049254 1.0479791736567 0.839059800197515 0.981256487461157 1.05221367524988 0.952369159475959 1.07144209486946 1.02295435388619 0.909788792975687 0.951526761009747 1.18819591391958 1.08610473043902 0.995152868489711 1.00402004303694 1.01573316325847 0.963990133118696 0.959074008998837 1.16608204623154 1.33178701368717 0.938203722664933 1.18345688079497 0.928722139445739 1.05055593750032 1.19507943363132 0.930320197454212 1.09025959584175 1.03752606147333 1.08785009576715 1.09580030402584 1.01102063388307 1.17500762362672 1.09477832618082 0.956143746741508 1.13810433439694 1.00351341041763 1.02289345022767 1.09581538542223 1.06489031323743 1.11515732794213 1.01892992691247 1.10463504908559 1.04833877212818 1.04958838462575 1.16430344882624 1.03691502440939 1.09834241744882 1.05120949630432 1.12771332385734 1.15848977722353 1.11575738005915 1.02860662403669 1.00887822546654 1.10994399847802 1.12313759181904 1.15167700825443
"008c_boy_crazy_stacey" 1.17768778813502 1.01100741881083 1.11348008132945 1.13454958138705 1.08613726691346 0.87041673524311 0.971404618886095 1.03755889013604 0 0.944812587860194 0.964042255412376 1.03704651603634 1.19878018988034 1.04900032507053 1.13045958564099 1.10570234358087 1.11124566312668 1.03866894445124 1.02741525277338 1.08919912867487 1.02910237091841 1.13248730283958 1.12796299912794 1.1553363395606 1.14850404921425 1.09438523506748 1.2602487943344 1.2842869608123 1.18891611249163 1.16614931065188 1.18623404494408 1.10680947290744 1.1582371027248 1.18121870003388 1.138629698034 1.30964389766385 1.16130176105568 1.2884360569936 1.04217314697462 1.26577775093171 1.36175032890339 1.09276170774604 1.20776126245163 1.2447843338251 1.16925151468119 1.22455921447566 1.19013271585541 1.17985610201179 1.25549922607687 1.1279053923496 1.21710098791247 1.14681021677258 1.22236135006648 1.23817417315494 1.11943160374804 1.14036905828711 1.24609027220327 1.27098606343483 1.15279869663462 1.11317490212001 1.20789844484517 1.22082773888547 1.1320866050224 1.18872155812097 1.05595109831861 1.08632920283531 1.18380879063149 1.09460319222324 1.24317609343873 1.21848264242021 1.14677223085792 1.28290626647078
"009c_the_ghost_at_dawns_house" 1.15833447747894 1.14157721512897 1.0237790668221 1.19315384040053 1.14534937865875 0.991647062290302 1.10496514770402 1.07078138096628 0.944812587860194 0 1.00192444900566 1.00596562382631 1.15005071203258 1.07153396809473 1.1377266641898 1.13148190242562 1.13418312639913 1.01863739843718 1.06338214826068 1.0649926462765 1.13483085146879 1.23224139355347 1.09063101678433 1.05558565202935 1.21801506384713 1.07246839970161 1.23328787416134 1.26012718464438 1.20787579875891 1.06768467627542 1.22280507752037 1.13117831483487 1.16640056922896 1.14488551220014 1.26730431978843 1.28440686166898 1.17528160608346 1.37000139169101 1.0984491042542 1.2596583377164 1.33414452299901 1.14368228402422 1.1862810414811 1.23894477748456 1.10631239569099 1.2487245258492 1.14474719978149 1.26357269653851 1.32125514903684 1.1401973240662 1.22520669423481 1.21248938152097 1.27958593483936 1.23314716538268 1.18535818074435 1.15730047519565 1.26394168525307 1.31554041950755 1.18994403412212 1.11213734367277 1.13991434550154 1.21150354912246 1.12457756724319 1.15203797925543 1.23836279857503 1.11956149689036 1.1896945575663 1.11442992646718 1.27381680264983 1.30994133799504 1.14980706992448 1.33231179133516
