"new_pl001" "new_pl002" "new_pl003" "new_pl004" "new_pl005" "new_pl006" "new_pl007" "new_pl008" "new_pl009" "old_pl001" "old_pl002" "old_pl003"
"new_pl001" 0 0.972554080447423 0.978851007389453 0.967457860900415 0.968424690828761 1.02993584271914 1.04734446989307 1.11498749107807 1.06838007311195 0.915339860350208 1.21448968276467 1.25322850438874
"new_pl002" 0.972554080447423 0 1.00320931806205 1.01390769339873 1.01310641130661 1.12391261846826 1.04543792717446 1.1313651634027 1.0486271447489 1.24395452222512 0.941012285563068 1.28546373142645
"new_pl003" 0.978851007389453 1.00320931806205 0 1.05329269248612 1.0530916814745 1.12588182671008 1.03515414738372 1.14079867141017 1.13127164995948 1.27200170928969 1.28482475328558 0.94332472458645
"new_pl004" 0.967457860900415 1.01390769339873 1.05329269248612 0 0.00287458095697421 0.971994590253211 1.02956781225442 0.989565550245101 0.997980620626985 1.19265313475319 1.23207863313007 1.26111275186376
"new_pl005" 0.968424690828761 1.01310641130661 1.0530916814745 0.00287458095697421 0 0.971676864615707 1.02966048569227 0.989514899291324 0.998100319483949 1.19265048150935 1.23113414306213 1.26028863118718
"new_pl006" 1.02993584271914 1.12391261846826 1.12588182671008 0.971994590253211 0.971676864615707 0 1.0234007697132 1.06602154104637 1.031297742104 1.21373682774895 1.340856370751 1.27232733335577
"new_pl007" 1.04734446989307 1.04543792717446 1.03515414738372 1.02956781225442 1.02966048569227 1.0234007697132 0 1.11664514448134 1.07232079059197 1.20376350494786 1.26808493166149 1.20959430855316
"new_pl008" 1.11498749107807 1.1313651634027 1.14079867141017 0.989565550245101 0.989514899291324 1.06602154104637 1.11664514448134 0 0.986148707876584 1.29001703948065 1.29773476051069 1.33623920170878
"new_pl009" 1.06838007311195 1.0486271447489 1.13127164995948 0.997980620626985 0.998100319483949 1.031297742104 1.07232079059197 0.986148707876584 0 1.25821211117754 1.25941046864849 1.31655546201899
"old_pl001" 0.915339860350208 1.24395452222512 1.27200170928969 1.19265313475319 1.19265048150935 1.21373682774895 1.20376350494786 1.29001703948065 1.25821211117754 0 1.28298064276456 1.26687075086215
"old_pl002" 1.21448968276467 0.941012285563068 1.28482475328558 1.23207863313007 1.23113414306213 1.340856370751 1.26808493166149 1.29773476051069 1.25941046864849 1.28298064276456 0 1.3508736796676
"old_pl003" 1.25322850438874 1.28546373142645 0.94332472458645 1.26111275186376 1.26028863118718 1.27232733335577 1.20959430855316 1.33623920170878 1.31655546201899 1.26687075086215 1.3508736796676 0
