"new_it001" "new_it002" "new_it003" "new_it004" "old_it003" "old_it006" "old_it010" "old_it011" "old_it018" "old_it025" "old_it026" "old_it032" "old_it037" "old_it040" "old_it046" "old_it047" "old_it049" "old_it055" "old_it057" "old_it062" "old_it066" "old_it067" "old_it069" "old_it071"
"new_it001" 0 0.832227722633828 0.851842578047631 0.965223094271589 0.886525584218614 1.03222701577987 0.938041895228336 0.999225632486138 1.05121639354122 1.00294289407385 1.07690329106491 1.08440145687936 1.06672826854273 1.17881735879705 1.15106518656286 1.13551615464754 1.06173867254232 1.10102776747416 1.14115263604535 1.11692525824305 1.11236325425583 1.05446755801514 1.15692898723437 1.11063582610099
"new_it002" 0.832227722633828 0 0.877863914316832 0.982389033468524 0.895522747314262 1.09261808954683 0.912480242542759 1.05678600708799 1.06805585649527 0.982745128415541 1.07764508705601 1.06508450798796 1.10775314125495 1.11377872626766 1.11969581240396 1.12927449135914 1.09525695252249 1.10640494401063 1.14980229116203 1.16550893273349 1.08912710763626 1.13772650394902 1.17548457185528 1.10721316073601
"new_it003" 0.851842578047631 0.877863914316832 0 0.962326387437033 0.25966134864637 1.05958424363736 0.952119330557524 1.08807256071365 1.01350196145521 1.02174391654389 1.06622911577324 1.11271831851684 1.10868318783256 1.17396752660402 1.13514906141744 1.11260151261048 1.11203863740901 1.08702204405588 1.12121563064299 1.17314561322437 1.13050757477255 1.08008615573579 1.10323639798215 1.10958487364828
"new_it004" 0.965223094271589 0.982389033468524 0.962326387437033 0 1.01224213819601 1.03681977753709 0.931840956280768 1.03681597994701 1.08223710252837 1.00879713835123 1.0356364508288 1.09359901100759 1.13591979874956 1.12193784190075 1.15066890252036 1.09189693266872 1.07883223863847 1.10521977534837 1.14906611475067 1.1780076643609 1.07482427153014 1.09141566194737 1.12501543885731 1.1055272343306
"old_it003" 0.886525584218614 0.895522747314262 0.25966134864637 1.01224213819601 0 1.05867463561818 0.937144744667192 1.09219094895581 1.01819838582594 1.01652571680071 1.05710898576442 1.12851754592719 1.09617355986653 1.14868501769519 1.12878444359455 1.10413385081945 1.09165570781767 1.081862483958 1.12291712970332 1.16499646797184 1.12282431659483 1.06715706752527 1.0992007261386 1.08852073898676
"old_it006" 1.03222701577987 1.09261808954683 1.05958424363736 1.03681977753709 1.05867463561818 0 1.04622823542142 0.954668346167727 1.01700919400897 1.08903064210549 1.10717832698475 1.10275073551547 1.16112917386405 1.20301545716604 1.14507438144059 1.07962271255807 1.1049337974269 1.08615458372911 1.07906282687308 1.06507389834394 1.17372830963048 1.07302479133854 1.11666595639361 1.17101024492381
"old_it010" 0.938041895228336 0.912480242542759 0.952119330557524 0.931840956280768 0.937144744667192 1.04622823542142 0 1.01157352855602 1.00295362038506 0.961803996528429 1.00642480099425 1.05350684535617 1.05332830300949 1.06053651519502 1.0294286156251 1.04911812903234 0.993087131598097 0.994137273262629 1.09229866598393 1.09468969932443 1.02690720281691 1.01315428844492 1.07276991591642 1.06410607906444
"old_it011" 0.999225632486138 1.05678600708799 1.08807256071365 1.03681597994701 1.09219094895581 0.954668346167727 1.01157352855602 0 1.07209744273344 1.00014414508607 1.10583079154257 1.06655419689939 1.11622466268373 1.19626867351639 1.1197158234172 1.10578235957957 1.08457239252834 1.11807285910176 1.12680596193795 1.0556206042727 1.08447436943389 1.103461407886 1.15446055935481 1.15172460793449
"old_it018" 1.05121639354122 1.06805585649527 1.01350196145521 1.08223710252837 1.01819838582594 1.01700919400897 1.00295362038506 1.07209744273344 0 1.042190655936 1.09242496207474 0.978407595819684 1.11322175945139 1.18877342052212 1.08013793836389 1.1258486790438 1.0814665560465 1.03299891697797 1.1154811839018 1.14288733618169 1.12341177272909 1.06115469166735 1.10437158823054 1.15551449036446
"old_it025" 1.00294289407385 0.982745128415541 1.02174391654389 1.00879713835123 1.01652571680071 1.08903064210549 0.961803996528429 1.00014414508607 1.042190655936 0 0.949239416143881 1.06401271453522 1.06568697071477 1.12166755140812 1.09726101455257 1.07857694634113 1.07311412703104 1.09439294799965 1.13801690388647 1.11175345512825 1.01655867949823 1.07335606760857 1.13268025278477 1.10936695356669
