"new_it001" "new_it002" "new_it003" "new_it004" "old_it003" "old_it006" "old_it010" "old_it011" "old_it018" "old_it025" "old_it026" "old_it032" "old_it037" "old_it040" "old_it046" "old_it047" "old_it049" "old_it055" "old_it057" "old_it062" "old_it066" "old_it067" "old_it069" "old_it071"
"le" 0.842128488949362 0.77548142926051 0.817364761743259 0.991682661548305 0.869626696832579 0.774102744546094 0.887771536316141 0.829843034407171 1.17175212330922 0.798620224213565 1.01506456241033 0.839281512275473 0.690675875678342 0.74787679046774 0.79907735398303 0.957894011439598 0.90362644799172 0.962325164608252 0.970692551801381 0.962519556492756 0.887422075540887 0.825424675013956 0.955775784402053 0.71276361231538
"i" 0.687676975692274 0.716114429891284 0.674919450568085 0.618468756664534 0.650452488687783 1.27412126375051 0.538162391483678 0.669354523035973 0.833595470273671 0.686138502493345 0.86441893830703 0.874578398305749 0.587896727511922 0.76477796087379 0.778482576818519 1.0095789401144 0.847896182476812 0.767522499707796 1.00429344782528 0.758451805999592 0.561056105610561 0.917138527793285 1.19471973050257 0.661327062973033
"si" 0.698709226639209 0.77548142926051 0.674919450568085 0.586478993388782 0.738829185520362 0.770398903663099 0.805279490906234 0.833757388343054 0.857187794904058 0.824865959281617 0.767575322812052 0.968703427719821 0.892123006084526 0.807030886888917 0.869099596342368 0.861415477913307 0.867799848732136 0.884404098648069 0.645883890237073 0.931909393918781 0.784745141180785 0.885238057261345 0.583649966704532 0.551105885810861
"con" 0.853160739896297 0.723535304812437 0.807190096659318 0.998791497831805 0.837811085972851 0.788918108078077 0.848489609930471 0.865072219830117 0.629128656810318 0.73488058190544 1.00789096126255 0.874578398305749 0.801677355698076 0.545062745595132 0.811434220281737 0.754599958652057 0.692647585685283 0.674017220555577 0.507746873249953 0.853683422896402 0.693069306930693 0.681872557620225 0.638489560891535 0.756852083180248
"ma" 0.812709153090869 0.756929241957627 0.766491436323554 0.714438046491789 0.774179864253394 0.603726063928294 0.840633224653337 0.685011938779504 0.754954388172381 0.802369614937573 0.889526542324247 0.811828378696368 0.789343857918106 0.756327375670765 0.753768844221106 0.640893115567501 0.76430078420445 0.849339618965987 0.634683591562442 0.717638255900959 0.711404473780711 0.70579791051918 0.736417407654041 0.800940554045117
"io" 0.669289890780716 0.593669993692256 0.651178565372223 0.472737612852776 0.908512443438914 0.325937997703619 0.903484306870409 0.696755000587153 0.672381251966027 0.80611900566158 0.441176470588235 0.376500117656287 0.694787041604999 0.616892719820848 0.935002883268803 0.644338777479154 0.744397117949126 0.740250126621732 0.780287474332649 0.670022447452554 0.718738540520719 0.606108940106867 0.567981511222531 0.668675141450511
"era" 0.621483470010665 0.612222180995139 0.491775479057148 0.746427809767541 0.473699095022624 0.551872291566354 0.612798051616451 0.626296629741261 0.672381251966027 0.839863522177646 0.749641319942611 0.678484587026433 0.612563723071863 0.735200912663202 0.646676002965648 0.620219144097581 0.712551251940607 0.646744847469513 0.433078215419078 0.792463097748452 0.737073707370737 0.797511763298509 0.517059030906028 0.738481886986553
"l" 0.448644871842018 0.552855181625914 0.566389689672715 0.53671713940428 0.537330316742081 0.503722360087411 0.549946969399379 0.524523427408306 0.597672223969802 0.513666529189007 0.581061692969871 0.34120323162601 0.448117086005591 0.498584526978493 0.486036741082461 0.434153400868307 0.601090720910792 0.592200101297386 0.582415531080829 0.44894905108496 0.564723138980565 0.490469734428583 0.376042931568021 0.51436549342347
"da" 0.4743867907182 0.437831620348039 0.461251483805325 0.465628776569276 0.477234162895928 0.525945405385385 0.436029382880936 0.528437781344189 0.479710600817867 0.644895204529264 0.462697274031564 0.556906424033258 0.497451077125473 0.363375163730088 0.572534805173408 0.53407759630625 0.457784323872457 0.342852690224802 0.477879410117603 0.499965988708251 0.55005500550055 0.550283116675971 0.501390575424028 0.39312219854508
"ci" 0.540580296399809 0.482356869874958 0.583347464812617 0.518945048695528 0.56914592760181 0.496314678321419 0.518521428290843 0.375777977844757 0.664517143755898 0.532413482809044 0.505738880918221 0.301984469370147 0.378227265252426 0.312671652511936 0.420133454156026 0.399696781751775 0.374188925600096 0.553239568317295 0.436811648310622 0.309502754914632 0.418041804180418 0.482494616795598 0.430882525755024 0.345359688441473
"kristy" 0.286838524620307 0.916478052762421 0.746142106155672 0.764199900476292 0.71408371040724 0.203711248564762 0.64029540008642 0.144831095627667 0.562283737024221 0.371189681676728 0.333572453371593 0.105890658090831 0.361782601545798 0.299995774707398 0.436609275887635 0.385914134105162 0.282632060825604 0.677913273853586 0.39574388650364 0.159853071219645 0.256692335900257 0.554270675492464 0.473970778330526 0.224116393563083
"come" 0.45232228882433 0.497198619717265 0.420552823469561 0.458519940285775 0.466628959276018 0.403718656246528 0.416388419688102 0.422750225075351 0.338156653035546 0.536162873533051 0.523672883787661 0.482390775747117 0.468672915638875 0.452106308361854 0.403657632424417 0.385914134105162 0.413996258110744 0.432461916079012 0.36587642337129 0.384327596762125 0.469380271360469 0.382805646383284 0.285949312546516 0.455580865603645
"sono" 0.345677196337293 0.467515120032652 0.484992369001187 0.479846449136276 0.480769230769231 0.47038779214045 0.365321915386731 0.48929424198536 0.463982384397609 0.434929323984852 0.401721664275466 0.541218919130912 0.361782601545798 0.312671652511936 0.383062855259906 0.399696781751775 0.441861390868198 0.323372423734757 0.477879410117603 0.285694850690429 0.392372570590392 0.362867852300821 0.395628500920522 0.495995297229774
"al" 0.283161107637995 0.367333308597084 0.41716126844158 0.330560887182768 0.519654977375566 0.41853401977851 0.432101190242369 0.395349747524171 0.566215791129286 0.419931761088823 0.326398852223816 0.356890736528355 0.386449597105739 0.435205137955803 0.444847186753439 0.413479429398387 0.342343059591577 0.52986324852924 0.515213739033041 0.333310659138834 0.392372570590392 0.446606587447165 0.450468095107525 0.455580865603645
"disse" 0.283161107637995 0.144707060962487 0.247583517042564 0.462074358427525 0.240384615384615 0.511130041853402 0.361393722748164 0.532352135280072 0.432525951557093 0.236211615612463 0.258249641319943 0.529453290454153 0.345337937839171 0.561963916001183 0.42837136502183 0.303218248225484 0.318458660085188 0.370125063310866 0.481612843009147 0.646214543228352 0.685735240190686 0.394768322832762 0.528810372517529 0.521713571900948
"se" 0.555289964329055 0.460094245111499 0.390028828217738 0.415866922584773 0.385322398190045 0.35927256565058 0.381034685940999 0.399264101460054 0.346020761245675 0.476172621948933 0.412482065997131 0.439250137265668 0.481006413418846 0.47745806397093 0.403657632424417 0.310109572048791 0.334381593089447 0.346748743522811 0.347209258913571 0.442146792735188 0.315364869820315 0.366855411117314 0.321203337381018 0.507017414945992
"del" 0.25006435479719 0.463804682572075 0.4137697134136 0.437193431435274 0.364111990950226 0.370384088299567 0.502808657736575 0.411007163267703 0.452186222082416 0.404934198192794 0.398134863701578 0.360812612753941 0.271336951159349 0.405628089745215 0.366587033528297 0.361794500723589 0.314477926834123 0.412981649588966 0.436811648310622 0.363920821712809 0.37037037037037 0.446606587447165 0.611069763798034 0.374752002351385
"mary" 0.706064060603832 0.411858558124003 0.352721722909954 0.302125542048767 0.318156108597285 0.407422497129523 0.23569155831402 0.207460758601793 0.538691412393835 0.236211615612463 0.437589670014347 0.239234449760766 0.592007893438579 0.190138167068069 0.14828239558448 0.285989938667218 0.195055929302177 0.202594771496474 0.332275527347396 0.564587443031086 0.267693436010268 0.717760586968658 0.238943946100513 0.374752002351385
"anne" 0.706064060603832 0.411858558124003 0.352721722909954 0.298571123907016 0.318156108597285 0.392607133597541 0.239619750952587 0.20354640466591 0.53475935828877 0.243710397060478 0.441176470588235 0.235312573535179 0.592007893438579 0.202814044872607 0.152401351017382 0.285989938667218 0.175152263046853 0.202594771496474 0.332275527347396 0.564587443031086 0.267693436010268 0.717760586968658 0.242861059971013 0.378426041590124
"ha" 0.327290111425735 0.452673370190345 0.342547057826013 0.266581360631265 0.360576923076923 0.237045816511723 0.322111796362494 0.356206208165342 0.290972003774772 0.337445165160661 0.344332855093257 0.505922033100635 0.390560763032396 0.363375163730088 0.444847186753439 0.32044655778375 0.302535727080928 0.280515837456656 0.343475826022027 0.309502754914632 0.344701136780345 0.315017146502911 0.532727486388029 0.371077963112646
