"bg_fr001" "bg_fr002" "bg_fr003" "bg_fr004" "bg_fr005" "bg_fr009" "bg_fr016" "frmod_fr001" "frmod_fr002" "frmod_fr003" "frmod_fr004" "frmod_fr005" "frmod_fr006" "frmod_fr008" "frmod_fr010" "frmod_fr011" "frmod_fr012" "frmod_fr013" "frmod_fr014" "frmod_fr015" "frmod_fr016" "frmod_fr017" "frmod_fr018" "frmod_fr019" "frmod_fr020" "frold_049" "frold_fr012" "frold_fr042" "qu_fr001" "qu_fr002" "qu_fr003" "qu_fr004" "qu_fr005" "qu_fr015" "qu_fr016" "qu_fr021" "qu_fr024" "qu_fr025" "qu_fr027" "qu_fr028" "qu_fr029" "qu_fr030" "qu_fr031" "qu_fr032" "qu_fr034" "qu_fr035" "qu_fr036" "qu_fr037" "qu_fr039" "qu_fr040" "qu_fr041" "qu_fr043" "qu_fr044" "qu_fr048" "qu_fr049" "qu_fr052" "qu_fr053" "qu_fr054" "qu_fr055" "qu_fr056" "qu_fr057" "qu_fr061" "qu_fr063" "qu_fr064" "qu_fr065" "qu_fr066"
"bg_fr001" 0 0.785774794032581 0.740827859688855 0.764785603976213 0.850589656649249 1.00769390691687 1.00409419616722 0.58898132425349 0.943648299903849 0.851958447414096 0.905342155413176 0.891342771872034 1.02055285570756 1.03724632984543 0.993972704763253 0.95663603768591 0.962214073504951 0.982510170306288 1.03060062653869 1.00149844112854 1.03298139525946 0.969528987459227 1.06542023624193 0.989319499044466 1.075043153876 1.04203829699282 0.911167583103979 1.03916821307604 0.888234315746394 1.06831496299766 1.01862065756859 1.10544922220955 1.13630340105832 1.14008974203593 1.18055093741586 1.18951369501851 1.20023532820044 1.13120959779984 1.15723356897812 1.109601521733 1.12331611639601 1.17669088212156 1.11372367929909 1.15367810241396 1.07111275085764 1.20233340426401 1.14231150987951 1.15185018260817 1.14163934871149 1.1621906816544 1.13349433024774 1.16008967772683 1.24720032185937 1.13879826370341 1.14740572089583 1.04433643869142 1.15194464550089 1.23983855180418 1.09631323688223 1.15931106986778 1.10864346555178 1.10756671177734 1.10331204062438 1.10889400121203 1.14155706903041 1.0668728661819
"bg_fr002" 0.785774794032581 0 0.80662142468257 0.795449875536594 0.893639083657743 0.944599907110105 0.960869917197122 0.956503694904494 0.600776877342158 0.953181650418808 0.92761261784727 0.937804820594236 1.09510146781676 1.10338081089803 0.993728989028252 0.969151121806526 0.961544640449889 1.01664666769773 1.03923618341975 1.01371151367036 1.02548651321729 0.968817498812596 1.03338820397858 1.00044041130497 1.09990606595797 1.03537974866525 0.925858430611701 1.01887576885512 1.07157467416162 0.792742619833217 1.0994146537623 1.09076510244601 1.15360602470501 1.13410564169426 1.13049603469045 1.20391535431179 1.27818766892274 1.11787349395952 1.12181517246989 1.13448555011697 1.1325803009839 1.18526765358108 1.16341163952846 1.13887175573027 1.08170767039752 1.16620846184015 1.16547884392336 1.15373864829503 1.18756942406186 1.10766507679363 1.11596056318146 1.19836012849674 1.23183594273861 1.16157891872192 1.08264247749305 1.07393976390732 1.13215947411088 1.18403755930301 1.08250422973161 1.26088796928158 1.11045561010525 1.13226097342913 1.10080742417344 1.09975482360001 1.09800756424874 1.05170835825588
"bg_fr003" 0.740827859688855 0.80662142468257 0 0.780572027132945 0.936808473395339 1.06036518332538 0.984680526559236 0.881914952418048 0.958365924117328 0.571108796354895 0.932920493295471 0.944968291628606 1.08254179570138 1.07563426766504 0.996495152069247 1.03266543343055 0.96050290424885 0.975121628872893 1.00831273441583 1.04739280272954 1.03311423131526 0.951429026754719 0.992849346463403 1.00919346970438 1.11982900841003 1.05052705226967 0.939851957357669 1.05157204103995 1.09378231967795 1.07677872052363 0.887667505094744 1.16482790770173 1.20633853037218 1.19006715461052 1.15493878548358 1.20162744430557 1.30617564253811 1.17414824379906 1.19406893473346 1.14722760220855 1.19639220118534 1.16878562723394 1.17083445353556 1.15037540150863 1.20466446975922 1.23525182836589 1.14153397138972 1.18354311639023 1.18222762138068 1.15177767977361 1.2113550071333 1.19799329522347 1.25953563729213 1.1113503271748 1.17489441373899 1.06432750667158 1.22471453345623 1.24078366724462 1.12449097307898 1.23347681127155 1.12766032183613 1.12205834835472 1.16841350748796 1.16759346867251 1.16583680637109 1.10366592002873
"bg_fr004" 0.764785603976213 0.795449875536594 0.780572027132945 0 0.850250915309598 1.07324184814858 0.974392117639676 0.909695271050193 0.959699800254515 0.932310653400651 0.498712655554022 0.916194225264288 1.1045874836029 1.12077032702266 1.04916504449718 1.00847108158556 0.966285161183459 1.0135733272215 1.04382477703816 1.0209932128915 1.03595495064605 1.03051475006726 1.06750441757179 0.936114125180857 1.08824939061731 1.04393047857531 0.901704933189079 1.05195764261838 1.03648072238813 1.05585509082818 1.05448470825151 0.897606908653892 1.12075787835455 1.18921617175046 1.1551137730583 1.22494294437678 1.28319220257342 1.14996779766542 1.15085638749799 1.08594870219847 1.16988608684103 1.15379543984143 1.13999498348466 1.12901702687604 1.15714495689228 1.21694760224234 1.11104543148049 1.14655077816107 1.20898994270941 1.16467905268318 1.1163519490521 1.14083458781835 1.31683889344943 1.16146456408312 1.10943470641829 1.11406562693091 1.16546903109654 1.20072471650937 1.1344545578821 1.27983790968298 1.17537944361219 1.15622924485782 1.1440393599467 1.19765153694938 1.16424447788243 1.09392416293576
"bg_fr005" 0.850589656649249 0.893639083657743 0.936808473395339 0.850250915309598 0 0.930003956623322 0.984731220884636 0.922497177847116 0.981316527375933 0.989573404855814 0.955878870935572 0.602794914794248 0.925740880603093 1.02208040762862 0.996597556321171 0.931655903282004 1.00731844141482 0.896175252503537 0.974837020647958 0.972322909273599 1.02910995039599 0.984725008741145 0.933823875578074 0.918510915855694 1.04577696802093 1.05415939219535 0.989932957586896 1.08449036227226 0.99806011253816 1.11527568069575 0.992415743858397 1.06801599596447 0.890246222275605 1.08542748009525 1.10431462815681 1.13560381370805 1.18840690557315 1.13414026225139 1.17021147974437 1.05768895352707 1.07781615072312 1.12367152898186 1.05331002511232 1.09134839728976 1.11674488505838 1.13158646651714 1.1208037185888 1.19813324897052 1.06277255079356 1.13422581691423 1.13070364782541 1.16608124082811 1.16018311925958 1.059007565242 1.08047632892814 1.01644233446405 1.13158886352497 1.18361304280691 1.08162755357006 1.15219839725109 1.08630898739012 1.05176530691463 1.14292047424105 1.06700438294856 1.08200089179184 1.02948031909558
"bg_fr009" 1.00769390691687 0.944599907110105 1.06036518332538 1.07324184814858 0.930003956623322 0 1.01869047969146 1.07093645045339 1.02732184025337 1.10411070815735 1.15759859028638 1.00136131367339 1.06088525520653 1.05736761605921 1.02504881416808 0.967440057887836 1.07971048522105 1.05082158354219 1.06031508463276 1.0818913293504 1.06705062095421 0.973411055997992 1.03121220277476 1.05507398544904 1.12286620945214 1.17040472381099 1.07769505033402 1.10902049069064 1.22139369674035 1.14595648420723 1.17471061183144 1.26059285779498 1.1849802660062 1.2368754204585 1.24471186618972 1.23778704717026 1.30335110615533 1.19931297991 1.27679327774577 1.22586271033612 1.13770482188904 1.2403430130371 1.18003458968422 1.26364905672213 1.19899955099745 1.17960885227235 1.25762788548314 1.23525894536268 1.26666099580319 1.20117073136199 1.24805113143139 1.26795564332993 1.3094249500808 1.31630313151802 1.20401052198342 1.23922664537733 1.26815071740215 1.24028325458986 1.18672406472597 1.29224706134045 1.27944643601601 1.23504852997963 1.19474620184392 1.23273070724887 1.15798385119763 1.18785250466401
"bg_fr016" 1.00409419616722 0.960869917197122 0.984680526559236 0.974392117639676 0.984731220884636 1.01869047969146 0 1.09391884652516 1.06319666528421 1.04413593294778 1.10549120603444 1.06906213133578 1.07899349515788 1.13937178041272 1.10215593283465 1.01903669791996 1.03843470211798 0.996965489707395 1.0362342558216 0.999926982551666 0.504104389488131 0.952264077391131 1.09291013881268 1.02523935108327 1.04005585913078 1.11004215129053 1.01558222501 1.04366788242664 1.23819896953689 1.1192018891795 1.12768706586499 1.23804576402425 1.18726527633547 1.1445529082716 0.790106713816938 1.15549724811956 1.23922711307816 1.15515477988277 1.12688591113561 1.12071423436369 1.11771554491559 1.10786389525462 1.15076079312221 1.02839940774764 1.11911441860665 1.12596368965805 1.15256296805453 1.18319751809704 1.13349572652868 1.12139212350457 1.14659813761469 1.19427662433381 1.22834414295727 1.09079906415978 1.08550743823212 1.07566773576844 1.21442769086093 1.1398460721644 1.11852206754427 1.12919636107955 1.16073454534039 1.04636027306243 1.07304678438858 1.13733074817246 1.06449809556962 1.10618248732468
"frmod_fr001" 0.58898132425349 0.956503694904494 0.881914952418048 0.909695271050193 0.922497177847116 1.07093645045339 1.09391884652516 0 0.824065200393528 0.703701766897556 0.765400396096569 0.724078379383776 0.841067592960953 0.904880417186234 0.799450568143572 0.780932922435451 0.818778334853789 0.817060731264743 0.874539759527546 0.890202746765323 0.916560940742032 0.869706727851149 0.885422514227721 0.841063387483551 0.934986985858147 0.907725342601229 0.884165183419629 0.944207521107243 0.867548321843247 1.05136991365828 1.01198890740897 1.06246873707997 1.10222414089805 1.12621440909918 1.14509121185114 1.20943657989806 1.17288204902612 1.11322775148349 1.17124417421901 1.08658935024248 1.10157863853765 1.19694616148624 1.09356383664051 1.13189965889872 1.09744493578933 1.20009533855648 1.15166428672398 1.13780486626651 1.15727444781571 1.11400630165234 1.12672475886038 1.12641591316456 1.24493202958177 1.12439395279434 1.14000418914131 1.08885387783005 1.14713367487504 1.22478618843787 1.06842395224118 1.14090761642065 1.13646241248968 1.09860466534301 1.1109703717544 1.09559429151244 1.11479742621472 1.07583701616425
"frmod_fr002" 0.943648299903849 0.600776877342158 0.958365924117328 0.959699800254515 0.981316527375933 1.02732184025337 1.06319666528421 0.824065200393528 0 0.7899606313668 0.846155256444853 0.793814031755157 0.925826308802715 0.931648929199761 0.818461644953849 0.836192499614906 0.885011710502011 0.850508895607415 0.943532313684862 0.9145933862654 0.910340905328077 0.860828571212237 0.888322475144521 0.855636686407676 0.933102460123663 0.933740370638791 0.944008246957406 0.93597573751171 1.10146607546632 0.858564405272844 1.10400314902009 1.13654550938929 1.10967862245436 1.11300978680396 1.13070735306721 1.20576790171306 1.26973865232407 1.11565454696133 1.16667208614078 1.10358927247018 1.10327958804642 1.21703897379755 1.12689010050292 1.16504736401969 1.09393733954833 1.14347698717972 1.2096787391705 1.14062760416511 1.18786787894365 1.06801844560404 1.11701088039309 1.21242137000796 1.19523455270042 1.18174356157576 1.08822460996916 1.12391391082728 1.15422610239002 1.18465443401197 1.06276396845523 1.20885226595388 1.10495300358591 1.10864460720589 1.08784560802525 1.11576705794405 1.09667638689437 1.07440601331108
"frmod_fr003" 0.851958447414096 0.953181650418808 0.571108796354895 0.932310653400651 0.989573404855814 1.10411070815735 1.04413593294778 0.703701766897556 0.7899606313668 0 0.78725287787824 0.776613476956033 0.913702197456124 0.940021923077582 0.802358351476932 0.873761836906975 0.811944041097226 0.78915955211958 0.89301023439376 0.909296780278475 0.90385186860385 0.859387842038716 0.857561950933414 0.841108044369931 0.96282097569673 0.929743779999041 0.878119954150539 0.968062618152369 1.03942251809167 1.06989630423507 0.860191137641036 1.12028033087995 1.13996215677751 1.15828729561586 1.11921101915668 1.15193990321138 1.2597908286493 1.12190638263387 1.16679555147586 1.0781848516475 1.13120943533553 1.15943783425519 1.10374565217393 1.09925036521733 1.17847890599114 1.19099501845961 1.11875507341945 1.14440182592922 1.11661779811473 1.0984214577652 1.13028029748757 1.13552444468744 1.22267108897687 1.09235842336855 1.11807737460784 1.05139217545444 1.17713222265467 1.18112860349297 1.0871293229975 1.14922556019857 1.12026378865443 1.08541573218981 1.11088471920064 1.12179194712663 1.11138724927194 1.10214712650337
