"bg_fr001" "bg_fr002" "bg_fr003" "bg_fr004" "bg_fr005" "bg_fr009" "bg_fr016" "frmod_fr001" "frmod_fr002" "frmod_fr003" "frmod_fr004" "frmod_fr005" "frmod_fr006" "frmod_fr008" "frmod_fr010" "frmod_fr011" "frmod_fr012" "frmod_fr013" "frmod_fr014" "frmod_fr015" "frmod_fr016" "frmod_fr017" "frmod_fr018" "frmod_fr019" "frmod_fr020" "frold_049" "frold_fr012" "frold_fr042" "qu_fr001" "qu_fr002" "qu_fr003" "qu_fr004" "qu_fr005" "qu_fr015" "qu_fr016" "qu_fr021" "qu_fr024" "qu_fr025" "qu_fr027" "qu_fr028" "qu_fr029" "qu_fr030" "qu_fr031" "qu_fr032" "qu_fr034" "qu_fr035" "qu_fr036" "qu_fr037" "qu_fr039" "qu_fr040" "qu_fr041" "qu_fr043" "qu_fr044" "qu_fr048" "qu_fr049" "qu_fr052" "qu_fr053" "qu_fr054" "qu_fr055" "qu_fr056" "qu_fr057" "qu_fr061" "qu_fr063" "qu_fr064" "qu_fr065" "qu_fr066"
"bg_fr001" 0 0.783123563284441 0.733636370532773 0.763296812640694 0.848343818493589 0.978785469313107 0.998719696067985 0.583478671706822 0.938795593372638 0.85228553389908 0.878373877803109 0.914469613118361 1.00379899399073 1.01207454185887 0.977198311927265 0.931450957065854 0.955450722397497 0.95310194766739 1.01387157693445 0.993304993648318 1.04234986601589 0.971594229083985 1.03664086753866 0.98151898802701 1.05927781150962 1.04110914127188 0.900949635217338 1.01549202958898 0.854867199436621 1.04842264442785 1.00242869211928 1.06284646028636 1.11429794937865 1.14671386778399 1.18238667745454 1.18677910860733 1.17213098070286 1.07495662321904 1.1422887596068 1.08685665976954 1.12475906127666 1.11071937267414 1.10379006763181 1.12909009406882 1.04479096449609 1.17305261233778 1.12285115588073 1.13843762791402 1.10897062365687 1.11738441246106 1.10364628227534 1.10042496648753 1.19036414529497 1.09742889215863 1.13692903879001 1.02633954649894 1.14166250192928 1.21199209300069 1.09716723979295 1.11203830825111 1.10057118972154 1.07998100010246 1.09681017778026 1.09330364487009 1.10428890579924 1.04312224675103
"bg_fr002" 0.783123563284441 0 0.807221995631017 0.790649828086372 0.873693441740869 0.898696302192579 0.950912378356691 0.953165126114393 0.594857770908613 0.942550151539169 0.901149424395472 0.933504445707509 1.06862457339414 1.05832854852957 0.986985519220084 0.953049957745682 0.959504899312687 1.00171588412948 1.01855649076786 0.996048123780107 1.04016226250334 0.982670006492522 1.02139266165526 0.967255207262535 1.0931882703297 1.02303614003074 0.914295615265187 1.00976513214045 1.03773149907929 0.782313926028169 1.07139635212003 1.04713380695556 1.13296238154806 1.12030449939354 1.12652533885284 1.19074142351673 1.23074976730914 1.06163003348033 1.11456872178268 1.08465502364685 1.10508289570043 1.13813414415714 1.13493932221876 1.09938682614055 1.03805997227341 1.13260020125028 1.14215543526688 1.12551119493543 1.15106407198468 1.08740071810899 1.07767785599375 1.11978247705816 1.18206414759052 1.10507604501702 1.06530296329486 1.039435312422 1.10803680782288 1.15240068201451 1.06871194618478 1.20339496341709 1.08515113756482 1.08885986293284 1.08015092283725 1.07102688326428 1.0723981116594 1.01897058603862
"bg_fr003" 0.733636370532773 0.807221995631017 0 0.759571237244907 0.904144428674255 1.00510821506 0.967021942003898 0.885549880125074 0.952862300407274 0.547877798481538 0.891678582490175 0.948494123000322 1.05259181167068 1.04598829838394 0.980808355100353 0.988017055745887 0.943406649990627 0.968107950730982 0.973019606571705 1.01983921591976 1.02787700763878 0.95155272694271 0.977107203149925 0.962781903139298 1.08775604768575 1.02075243092032 0.91325982607977 1.0398523638502 1.03351491861538 1.0793336099107 0.843445208905306 1.09726139854063 1.1679903659301 1.1762796288496 1.13906135206507 1.19636878818976 1.23904524134285 1.07814917443277 1.16486020792767 1.10483066794661 1.16658723591143 1.11741015070361 1.14381810112929 1.10969795135408 1.14657331210205 1.18410734441199 1.10973797530854 1.15927079878672 1.14008202842325 1.12780958089738 1.14387600414914 1.10897779670862 1.2051641715192 1.06400723734204 1.13522549353607 1.04062593845321 1.19602486777613 1.20194545373215 1.10637175153479 1.16616340158798 1.10747982386588 1.07972058287697 1.14540540006068 1.14767775604159 1.11234650738825 1.06166459573138
"bg_fr004" 0.763296812640694 0.790649828086372 0.759571237244907 0 0.853461627508078 1.02593563454128 0.971621890332204 0.928329581464354 0.964382686336692 0.926947238580693 0.49456095485178 0.94818016285527 1.0844698156444 1.0881758304427 1.04262744395504 1.00606988579205 0.962776473704544 1.01543251605408 1.03640868408755 1.02426562235781 1.06006320476073 1.02921143610904 1.05997456502866 0.936180607518008 1.09212690358598 1.03726783225997 0.902161994704109 1.06391434215647 1.01208833032077 1.03090770710758 1.03825493996242 0.885992952042714 1.11692400479793 1.18058411100618 1.15873393181879 1.20932478609381 1.22280550748136 1.07608790993673 1.1286745720204 1.07900345066343 1.15981550170196 1.1091216922492 1.14812947025266 1.10535921761082 1.10094374896602 1.18798099424222 1.10593446373678 1.12836622170737 1.18065049732069 1.14819939400208 1.09038807082955 1.08941082139468 1.25835741427573 1.11946452079165 1.10848454513529 1.09217424294503 1.13950347502902 1.18453890649348 1.13532814189092 1.20422944904348 1.14861976902463 1.10066038207539 1.12881146877924 1.16048573569171 1.12639379942393 1.05326877140019
"bg_fr005" 0.848343818493589 0.873693441740869 0.904144428674255 0.853461627508078 0 0.899906790030059 0.970286886253966 0.931999325365916 0.990441258275767 0.9483719694459 0.948912384864675 0.598179116565252 0.92485424671287 1.01410252735411 0.989173824658983 0.915988227140882 0.980292196288657 0.903091184651643 0.973687774383752 0.933846175315569 1.02514115959432 0.977874620911102 0.925105444306312 0.913084612196093 1.04245614562381 1.04509652118599 0.958150738539174 1.06195734076542 0.974227790949233 1.0849984358942 0.957403573159063 1.03156800096512 0.870814200179429 1.07450743938021 1.08980254713777 1.12111369110508 1.14297642348445 1.07006109506011 1.14414151385547 1.02404710110907 1.05929277546857 1.06990630761316 1.05517970851918 1.06038883258983 1.06363001644488 1.09639347835395 1.09048302358245 1.16615191822025 1.0307305234867 1.09835625887065 1.10773600102667 1.10314435959194 1.10527752904842 1.03233429167887 1.07282505104827 1.00411316114229 1.1227723673524 1.13710545252944 1.06640691198574 1.09702580393003 1.06912380479263 1.02764956215166 1.11972382142757 1.05507616417879 1.05296625171544 1.00388021541363
"bg_fr009" 0.978785469313107 0.898696302192579 1.00510821506 1.02593563454128 0.899906790030059 0 0.995998312593478 1.0681617695265 0.993144938294188 1.0699315713324 1.10458153908864 1.00231341400733 1.04384492568823 1.02829650781632 1.00417425860127 0.940376219946819 1.02535968517009 1.01564276921854 1.06036050695593 1.04582716934453 1.05695036021696 0.962650873284929 0.999240717875612 1.02350642625125 1.10071635189107 1.12939053874673 1.0075966950921 1.08490531220159 1.17948221494646 1.08764737788675 1.12828870600445 1.18019659881109 1.15915403010901 1.20846432408638 1.20735561052731 1.21533443530197 1.22501974691316 1.11644039549169 1.23210374121393 1.1528670495769 1.11513042258449 1.17149439697257 1.14908396992344 1.20658287864443 1.13080893922316 1.12540948996388 1.21033501181405 1.19136745781666 1.19744257184042 1.15591575494271 1.17415276452295 1.17788265483155 1.24295924403097 1.23400011463675 1.17451065392143 1.17007260911622 1.2331955290372 1.2097856583702 1.13043261744228 1.22923906288433 1.21775570635937 1.18939343197489 1.16015911804029 1.17515744608077 1.11275005910147 1.12256603708726
"bg_fr016" 0.998719696067985 0.950912378356691 0.967021942003898 0.971621890332204 0.970286886253966 0.995998312593478 0 1.09598936950716 1.0718103073322 1.03385898249028 1.08564288155113 1.07564821266301 1.08661311664741 1.13904472648322 1.11460512733321 1.00615676360572 1.02474308656704 1.01830567369702 1.04203492533939 1.00148081665953 0.489031445482247 0.990090145416597 1.08419131741951 1.02922023676994 1.04687271125034 1.09439028272384 0.99248997875962 1.02815934540619 1.19980062506421 1.14551726244635 1.11225954464415 1.18493432335533 1.19081551069489 1.15791651541902 0.789613696841896 1.15489368549683 1.19418707418995 1.11923798954528 1.13231510434022 1.11306950193928 1.10933553578062 1.09478876115263 1.14638024116359 0.992009805216172 1.09366090793213 1.11017308748987 1.14103452653039 1.16348577260156 1.1283088578765 1.12690241228065 1.12101787671638 1.16519140968043 1.18588848411349 1.09437028434994 1.07809138558089 1.07692448272619 1.18198727422204 1.1273110686468 1.09825466127078 1.10626767558827 1.14491652757635 1.03818084830675 1.07259167747187 1.15748657327843 1.05648655019696 1.11421733080679
"frmod_fr001" 0.583478671706822 0.953165126114393 0.885549880125074 0.928329581464354 0.931999325365916 1.0681617695265 1.09598936950716 0 0.826754172719981 0.731302886044992 0.752822363421884 0.763050330345865 0.846311464697311 0.904998682926841 0.813901438134577 0.76477668380263 0.828463813976196 0.805708044142046 0.85317224562656 0.882679074829619 0.929628810154477 0.856695180792949 0.870381199295675 0.837919173530213 0.923450856196615 0.923421728808311 0.90239160426953 0.924132703744171 0.886959690347134 1.05798284614918 1.01729130455724 1.05257360004755 1.11357178208129 1.15942453453413 1.16186765811326 1.22585481598099 1.18160894775299 1.07966686123086 1.16216402861693 1.09220821082147 1.11799133328726 1.16220205576655 1.11039196899092 1.12781197212119 1.07854720757303 1.19458800118636 1.14327817608362 1.15029136032574 1.13266469049929 1.09291863756134 1.11390542282813 1.09080367448286 1.20594173853283 1.09703348265887 1.14973052625627 1.07784578442888 1.15308580794169 1.22123538865798 1.08946113467005 1.12508512793675 1.13639199031305 1.09111446553737 1.117518264361 1.11732559280448 1.09632693532025 1.07821134003312
"frmod_fr002" 0.938795593372638 0.594857770908613 0.952862300407274 0.964382686336692 0.990441258275767 0.993144938294188 1.0718103073322 0.826754172719981 0 0.798634450888336 0.839122511707942 0.815400293470854 0.922313228980645 0.920099026054454 0.824654486551404 0.8389590068975 0.885229738621592 0.843916760376239 0.936138573191962 0.922572170344727 0.94769662830648 0.876262010071113 0.887797081940875 0.839666281353257 0.935532133003695 0.952823283653958 0.938023661308553 0.923906544008666 1.08366533137536 0.868960041900646 1.08008526484209 1.09350348891581 1.11178750018224 1.11478934367314 1.14303525084312 1.20815887049019 1.23225561271603 1.06949685834873 1.15621818656742 1.070236461113 1.08958848009374 1.17043225190836 1.11238809581427 1.13700453313801 1.0610759079317 1.12571634873446 1.17779772289684 1.13362943717645 1.14487836339912 1.07407783720685 1.0867461179035 1.12867675588274 1.16167435092111 1.12834548669055 1.08876271769444 1.07158861477584 1.14048981356213 1.15833404218369 1.06786807260082 1.1837587541608 1.08751334563505 1.07396855262142 1.09581610583172 1.09649579141509 1.09479672222329 1.05493734292181
"frmod_fr003" 0.85228553389908 0.942550151539169 0.547877798481538 0.926947238580693 0.9483719694459 1.0699315713324 1.03385898249028 0.731302886044992 0.798634450888336 0 0.781900260408903 0.799562321702118 0.918842789765261 0.933899651170899 0.822143247020304 0.852423160123243 0.813416446433519 0.801556688982781 0.859997848810864 0.896267282575998 0.908730599913978 0.86200396058145 0.839377705033559 0.81070188675039 0.94523555726041 0.917266535887016 0.880306239686743 0.964803086214667 1.00345084978769 1.0840610276488 0.832546404795047 1.07086746647852 1.11926060856951 1.15029983203068 1.12514622797163 1.1598872421218 1.21967985860195 1.06125042738946 1.15660792086255 1.04900725851321 1.12564168899673 1.12563753097229 1.10639653633132 1.08076090586248 1.12701527280295 1.15043926656657 1.10340523374901 1.1380807130744 1.0917448881907 1.08136692621745 1.09882589859284 1.0627918107527 1.17454347164408 1.05938153657013 1.10158081611445 1.04217561478025 1.16336828689327 1.16259323058364 1.08287103071969 1.12545895212879 1.10297280093447 1.07155010318693 1.1185488115896 1.12866685517087 1.07816735096609 1.07256853971709
