"bg_fr001" "bg_fr002" "bg_fr003" "bg_fr004" "bg_fr005" "bg_fr009" "bg_fr016" "frmod_fr001" "frmod_fr002" "frmod_fr003" "frmod_fr004" "frmod_fr005" "frmod_fr006" "frmod_fr008" "frmod_fr010" "frmod_fr011" "frmod_fr012" "frmod_fr013" "frmod_fr014" "frmod_fr015" "frmod_fr016" "frmod_fr017" "frmod_fr018" "frmod_fr019" "frmod_fr020" "frold_049" "frold_fr012" "frold_fr042" "qu_fr001" "qu_fr002" "qu_fr003" "qu_fr004" "qu_fr005" "qu_fr015" "qu_fr016" "qu_fr021" "qu_fr024" "qu_fr025" "qu_fr027" "qu_fr028" "qu_fr029" "qu_fr030" "qu_fr031" "qu_fr032" "qu_fr034" "qu_fr035" "qu_fr036" "qu_fr037" "qu_fr039" "qu_fr040" "qu_fr041" "qu_fr043" "qu_fr044" "qu_fr048" "qu_fr049" "qu_fr052" "qu_fr053" "qu_fr054" "qu_fr055" "qu_fr056" "qu_fr057" "qu_fr061" "qu_fr063" "qu_fr064" "qu_fr065" "qu_fr066"
"bg_fr001" 0 0.751512499439717 0.737307121483633 0.752346375939166 0.821315521072228 0.94707098139463 0.951603585499501 0.576496216514743 0.918993304270342 0.865919741912541 0.883406117562553 0.913298107271455 0.978289664170074 0.974899231395651 0.952881567155143 0.911699744014853 0.930295106936775 0.95434282008311 0.985491057613878 0.966388005764789 1.0069675451256 0.962375618594268 0.977929777716976 0.956340926460746 1.00408459578236 1.0073334475929 0.868556083308844 0.980544836063931 0.834222898270364 0.996842554597274 1.0058079966166 1.03337312755142 1.05450300885503 1.10738787322706 1.14493818717377 1.12537639114222 1.10622127742862 1.01734409150895 1.0869173134031 1.03876727342966 1.08298835278436 1.07901172094853 1.06807954309697 1.08233404314745 1.0004078959567 1.13211215342339 1.08841579419206 1.09439687747745 1.09394479119798 1.09853663973375 1.06850854881523 1.08282900901155 1.14952866732432 1.07621915163181 1.1172301379913 1.04059083733862 1.09719176549286 1.15923569033301 1.09204565155904 1.05768033579852 1.07113836995186 1.06194911205489 1.05897788512656 1.05499447728374 1.07767203073452 1.02314060351413
"bg_fr002" 0.751512499439717 0 0.801393662449385 0.754837777219074 0.839824880790236 0.871324994151287 0.897063677127266 0.89690514716172 0.579070496880434 0.923708275999263 0.873851460306625 0.918977330460674 1.02716215443569 1.00536102304424 0.948870869798839 0.92957861859739 0.914046837910599 0.958118300861353 0.994021748639111 0.952355621522697 0.980121148862936 0.960842608844552 0.970505229807945 0.945632616894669 1.02915086848531 0.972597607152013 0.865205246418508 0.962050099602915 1.00357821665583 0.763288356609222 1.0542465407907 1.01930858165031 1.07899643915947 1.0650910721819 1.07471721026641 1.12420119905928 1.14880645471566 1.00682309755249 1.07476286720166 1.04011036693092 1.06027154014262 1.10816522570475 1.08439517327864 1.05902832033623 1.02166347621678 1.0858029242572 1.08421212766234 1.08445352794969 1.12372290368656 1.07515842174327 1.03250439805567 1.08114588499511 1.12456576114347 1.07384841276622 1.03990392736768 1.03074532330228 1.05458478620409 1.12719476530954 1.04497261465155 1.12535114878559 1.03620860314672 1.0438097685753 1.0190400530662 1.04192878134665 1.03434864837404 0.996163942400412
"bg_fr003" 0.737307121483633 0.801393662449385 0 0.759816389391456 0.862928027298682 0.970358475377873 0.942068793462643 0.868718881882673 0.942258124032614 0.560131075612302 0.895316149140462 0.940396014368692 1.0126711637215 1.0098211431285 0.984877204104755 0.968309128350193 0.942096000466793 0.954244460463244 0.977917795127028 0.979034774673527 1.00450340453356 0.95344114326367 0.953891312187267 0.963852333709836 1.03724241812397 1.01121886330437 0.903062011565795 1.01797645890019 1.01776929003202 1.06477872374075 0.838058577147953 1.0707669465109 1.11270327291061 1.1229184673464 1.1171083638759 1.13064254814925 1.17052901901297 1.04593429247181 1.12565954379509 1.06945489390921 1.14367159578663 1.08606226888392 1.10356433998155 1.07742214844351 1.09700433176812 1.14198880608253 1.09032668974065 1.13740015918165 1.12041037225045 1.12678177070037 1.09777959026713 1.06194125335144 1.17114399500702 1.05097314191372 1.12332537640125 1.03846482367949 1.15692320814971 1.17587552674491 1.11296808497016 1.11626502195278 1.07432766176765 1.05569674370318 1.09979989132461 1.09436207215907 1.07629406605312 1.03867306948275
"bg_fr004" 0.752346375939166 0.754837777219074 0.759816389391456 0 0.8109056020853 0.962657434382841 0.925461046996572 0.908129252383035 0.910437452483546 0.921218750834663 0.476502582723203 0.907367502260183 1.01940618808019 1.00442513426649 0.974571387574081 0.966169412793004 0.914463406697776 0.968482918519362 1.01281609992436 0.959345467716605 1.00788816787871 0.983325971985552 0.980284691750361 0.913774722915814 1.01684514081061 0.981773998375663 0.854125277591231 0.989137204949239 0.983450212974912 1.00631503925304 1.02678132095001 0.842205155171513 1.04837023627281 1.08647682999555 1.11160280612386 1.14636163366473 1.11641222543059 1.01020548089265 1.08070391359009 1.0280903135041 1.10079073124867 1.06503741820063 1.08666647051698 1.0635856340594 1.05340359822127 1.10822882372226 1.05287862502775 1.06942491262758 1.13626896770937 1.1229334470416 1.03601638803512 1.05505082113705 1.17701272985397 1.08092005281701 1.0866561721767 1.06379742995298 1.08422694934922 1.12916818111129 1.11472046024629 1.13508924799438 1.09662122961829 1.06732380961011 1.06824520445907 1.06500014905611 1.08505124997008 1.00410621641165
"bg_fr005" 0.821315521072228 0.839824880790236 0.862928027298682 0.8109056020853 0 0.862049591317065 0.929371907076551 0.893380127784967 0.957318816600793 0.938022841728377 0.916024919010737 0.575329251787963 0.909185446110526 0.95767882923428 0.9751897928789 0.891036727547599 0.946418472252764 0.888659011340749 0.947673057571961 0.896883212958854 0.98851413452684 0.962899590606482 0.881211409073982 0.910183840099875 0.996137037330096 0.994012802614569 0.904602107090853 0.998389745951318 0.968242084192754 1.04583604201855 0.971530291828177 1.00517842026881 0.834505268418913 1.02470643774106 1.08513028860875 1.06402930023019 1.08977278399591 1.0160865729048 1.08762638539233 0.986303097888059 1.02374434001823 1.03864942927345 1.01857254508802 1.04180230119429 1.01461200795768 1.05697740654833 1.05864076786482 1.11737944540158 1.03241197823471 1.07932852018842 1.05241860234682 1.07747651240013 1.07571717123246 1.04058892501799 1.0602345269022 1.00258717459272 1.07751040637774 1.09800311956359 1.07569051404455 1.05907761284684 1.03731601517641 1.02103383201016 1.08204099459151 1.00412191568134 1.03902560115521 0.964525506311337
"bg_fr009" 0.94707098139463 0.871324994151287 0.970358475377873 0.962657434382841 0.862049591317065 0 0.938219801461715 1.02060030401203 0.965765789474285 1.0537753465423 1.04955022517064 0.975280057166586 1.004392532335 1.0067835739497 0.982387315809821 0.92522405362827 0.986619827327605 0.993127553495018 1.02725323671234 0.993766846660438 1.00323373578924 0.941537236105369 0.963028067545226 0.997128223861953 1.04681734605857 1.08313452651737 0.956413533745547 1.04435524540131 1.12459907876935 1.04211343689539 1.1130965050046 1.13705617167132 1.11564044378875 1.13967126305569 1.17863415231973 1.15634048777302 1.15747498118759 1.06699591181089 1.18094239485823 1.10732752079683 1.06231478212722 1.13628381507927 1.11246658826655 1.15241601912063 1.08666392113332 1.07969423207674 1.15088705112061 1.14807528730842 1.15594769399102 1.14609431843012 1.11987224572202 1.13400774142492 1.19092862315296 1.18405098787491 1.16079617645942 1.13359619547421 1.17105954936959 1.16857234255576 1.13814213325548 1.1716914541414 1.15856924822017 1.17605356443874 1.09530141379997 1.11793652732676 1.10071736687348 1.08887417601949
"bg_fr016" 0.951603585499501 0.897063677127266 0.942068793462643 0.925461046996572 0.929371907076551 0.938219801461715 0 1.05220622676553 1.01832362663038 1.01376282808297 1.03429630906485 1.04802577995047 1.06150324729288 1.07402652758295 1.06495532646942 0.974437912027235 0.981439757181068 0.984801415968503 1.00838671663239 0.955740983982782 0.471213665774627 0.957507821281873 1.01437796284611 1.01602753163191 0.995319521916966 1.04240956958093 0.924033765427939 0.97213914709604 1.14799906992059 1.08796976577512 1.09973635845757 1.13602108731989 1.13772062250956 1.09288688420761 0.781065855740714 1.11093414914329 1.10246723221917 1.06090004129885 1.08293129716519 1.06995432769068 1.07058012145749 1.07060669277763 1.10600362132822 0.971979426339099 1.0555216814931 1.07038928363219 1.08547604392088 1.11959241376831 1.08867003409727 1.10259118603704 1.06322431348076 1.11274704653371 1.13520094946612 1.06718058512709 1.06121777771964 1.04581607039252 1.13165633138596 1.10900164888044 1.0963366690775 1.05172548141276 1.09779633435869 1.01865408153269 1.03295331626067 1.09791992054874 1.05076214871509 1.07410950976449
"frmod_fr001" 0.576496216514743 0.89690514716172 0.868718881882673 0.908129252383035 0.893380127784967 1.02060030401203 1.05220622676553 0 0.777304873220148 0.726461255156449 0.736069230218549 0.759082975322527 0.833216877184138 0.868416420459837 0.802526222490273 0.744232164201228 0.789082300662949 0.805210809235628 0.823265468074757 0.84987316055545 0.888604273169778 0.829919367666851 0.826369795501331 0.809830575622423 0.879113769548853 0.881240650875998 0.871491061290246 0.888553655288089 0.876538271435989 1.02149416527655 1.02817869659483 1.03846049509172 1.06290481467675 1.11869965769301 1.14255551213672 1.16553352042325 1.13379486647514 1.04010027575428 1.10588564966107 1.05212324594393 1.0861357910414 1.13137343897937 1.07393676495645 1.09801204251627 1.0369462717834 1.14786295286693 1.11147081127338 1.11217190121351 1.11406958387892 1.09219536345012 1.07730750999387 1.0798491778993 1.15570343746803 1.08198835953021 1.12038271479299 1.08814888898112 1.11203859790822 1.17908764273757 1.09067756767051 1.08842347073916 1.09001705584285 1.07380904574377 1.07571624097847 1.07528193694144 1.06484885075086 1.04874448769997
"frmod_fr002" 0.918993304270342 0.579070496880434 0.942258124032614 0.910437452483546 0.957318816600793 0.965765789474285 1.01832362663038 0.777304873220148 0 0.7970196087375 0.788098519649178 0.808662410488599 0.900260766217478 0.898632095411892 0.809152407926405 0.833118588851795 0.848075028309397 0.824683533590817 0.911466226176733 0.900374016190623 0.90463855746717 0.861305781190432 0.875852477091559 0.83879198279234 0.896475268086719 0.912121729762486 0.897894288839961 0.900935152966772 1.0405803445679 0.862451342849669 1.09182200610728 1.05692273153186 1.07532950813318 1.08128326262829 1.11872901829048 1.15661885940559 1.17282703326563 1.02712338731576 1.13154966601371 1.04471726326839 1.06626158594132 1.16174155850425 1.08834863633815 1.112493305992 1.05333607576431 1.10184884485972 1.13997708038325 1.10960893303029 1.14180585556651 1.08722547939497 1.06001933316138 1.1018866556234 1.13031805430028 1.12255815674912 1.08108053344071 1.07332356279682 1.1079405344288 1.14765768582339 1.06938988352362 1.14185406896681 1.05874807723453 1.057598313399 1.05488724661348 1.07519263559666 1.06605950118668 1.02103570662088
"frmod_fr003" 0.865919741912541 0.923708275999263 0.560131075612302 0.921218750834663 0.938022841728377 1.0537753465423 1.01376282808297 0.726461255156449 0.7970196087375 0 0.786285339808066 0.806899758236353 0.898175033375786 0.914398827039833 0.829214476005116 0.846560399837033 0.814332639098843 0.80320525814549 0.868139879271833 0.869501769056116 0.895879759583973 0.873013425542105 0.83963041509691 0.823210724612924 0.912969697004794 0.926669636095394 0.88416805300696 0.946793027874141 1.01776398510857 1.08255876889784 0.850401767530184 1.07144982518116 1.09914332433661 1.11152872501888 1.12387911823472 1.12870546165718 1.17564339780963 1.06636705715275 1.13104586648087 1.05014042777622 1.11632314898855 1.12198499880459 1.08965841718907 1.07265832570243 1.10787096339687 1.1344675140601 1.11190677933436 1.13724844447528 1.08532306915834 1.11356082138036 1.08396858900352 1.04954628929653 1.15713821393681 1.06592393796035 1.11478041249546 1.0566064624385 1.15061073768074 1.16804569250083 1.106703268967 1.11011343226692 1.08087488308176 1.06442329114743 1.09563059521665 1.09510920413807 1.06905325787433 1.06098050883072
