"old_es002" "old_es004" "old_es008" "old_es009" "old_es012" "old_es014" "old_es015" "old_es016" "old_es018" "old_es019" "old_es022" "old_es024" "old_es027" "old_es028" "old_es029" "old_es030" "old_es032" "olds_es030"
"old_es002" 0 0.937824986060128 1.16793948069779 1.13970491855045 1.18815883473991 1.21296901355826 1.13032446925047 1.05837123359506 1.18482588257722 1.07472900212922 1.14988227093623 1.2470165202933 1.1915808311246 1.19259173121055 1.14883109692196 1.16884652259242 1.16881788817958 1.16884652259242
"old_es004" 0.937824986060128 0 1.17755485147567 1.17971347866854 1.08662134163065 1.15757302103514 1.15222719873705 1.08535256127201 1.16634731192484 1.05785988908773 1.12920460579747 1.21252828507431 1.20586456438629 1.13464448138508 1.16340175041984 1.10514483934568 1.14564997720752 1.10514483934568
"old_es008" 1.16793948069779 1.17755485147567 0 0.998075730629875 1.16548271689346 1.09203628081958 1.05509735873557 1.20939854542397 1.01456294110086 1.09235653071585 1.13958338895621 1.09620353371081 1.17891709179469 1.12226556696465 1.12694874622516 1.14688057805864 1.1510342367766 1.14688057805864
"old_es009" 1.13970491855045 1.17971347866854 0.998075730629875 0 1.03591884676525 1.04825374804968 1.01097720513316 1.19100247492219 1.00180074203419 1.02508848806559 1.08347603709934 1.09794444827538 1.13299891079035 1.09709683203589 1.00658649430692 1.06530861554161 1.08123252353076 1.06530861554161
"old_es012" 1.18815883473991 1.08662134163065 1.16548271689346 1.03591884676525 0 0.975319126765475 0.985225227597394 1.17975905934638 1.06246036320063 0.933495214793323 1.01246216718157 1.10382673268995 1.06952670789426 1.05133297183167 1.05980220856381 1.07800057421767 1.05842665371344 1.07800057421767
"old_es014" 1.21296901355826 1.15757302103514 1.09203628081958 1.04825374804968 0.975319126765475 0 0.96963280705426 1.11942713424666 1.04831741611695 0.957538843492195 0.967326970187919 1.01536314806153 1.08028988458019 1.06859033183762 1.07454345534208 1.07339150820122 1.04339575992691 1.07339150820122
"old_es015" 1.13032446925047 1.15222719873705 1.05509735873557 1.01097720513316 0.985225227597394 0.96963280705426 0 1.09698626990437 1.01531734824448 0.948678760029025 1.0205549505067 1.00935907521691 1.03077954403097 1.02871776528229 1.01094897636414 0.98185045978718 1.04196166475004 0.98185045978718
"old_es016" 1.05837123359506 1.08535256127201 1.20939854542397 1.19100247492219 1.17975905934638 1.11942713424666 1.09698626990437 0 1.13622303625742 1.10685035553823 1.15578553627713 1.17108063158216 1.13682064084261 1.19854171710507 1.13002816562865 1.0968426471923 1.09231038391049 1.0968426471923
"old_es018" 1.18482588257722 1.16634731192484 1.01456294110086 1.00180074203419 1.06246036320063 1.04831741611695 1.01531734824448 1.13622303625742 0 1.03872626849434 1.02111145771733 1.02650868374568 1.10699726364209 0.948006140593107 1.01524294672868 1.03187896253323 1.06251179633562 1.03187896253323
"old_es019" 1.07472900212922 1.05785988908773 1.09235653071585 1.02508848806559 0.933495214793323 0.957538843492195 0.948678760029025 1.10685035553823 1.03872626849434 0 0.930238708675083 1.02862618256757 1.0476980055003 1.01428586403854 0.986864485204822 0.99711149250832 1.03966991477759 0.99711149250832
"old_es022" 1.14988227093623 1.12920460579747 1.13958338895621 1.08347603709934 1.01246216718157 0.967326970187919 1.0205549505067 1.15578553627713 1.02111145771733 0.930238708675083 0 1.00731753853347 1.06516963702032 1.00136788740562 1.0347453748241 1.00827852038193 1.02985499356462 1.00827852038193
"old_es024" 1.2470165202933 1.21252828507431 1.09620353371081 1.09794444827538 1.10382673268995 1.01536314806153 1.00935907521691 1.17108063158216 1.02650868374568 1.02862618256757 1.00731753853347 0 1.13876356328021 1.07610502204971 1.0360453272537 0.983586023911 1.01799262433169 0.983586023911
"old_es027" 1.1915808311246 1.20586456438629 1.17891709179469 1.13299891079035 1.06952670789426 1.08028988458019 1.03077954403097 1.13682064084261 1.10699726364209 1.0476980055003 1.06516963702032 1.13876356328021 0 1.07806650069369 1.13349558185742 1.08903980928051 1.0404072593983 1.08903980928051
"old_es028" 1.19259173121055 1.13464448138508 1.12226556696465 1.09709683203589 1.05133297183167 1.06859033183762 1.02871776528229 1.19854171710507 0.948006140593107 1.01428586403854 1.00136788740562 1.07610502204971 1.07806650069369 0 1.00762950753482 1.00452647571297 1.02997737307427 1.00452647571297
"old_es029" 1.14883109692196 1.16340175041984 1.12694874622516 1.00658649430692 1.05980220856381 1.07454345534208 1.01094897636414 1.13002816562865 1.01524294672868 0.986864485204822 1.0347453748241 1.0360453272537 1.13349558185742 1.00762950753482 0 0.951082827181136 0.984037306887646 0.951082827181136
"old_es030" 1.16884652259242 1.10514483934568 1.14688057805864 1.06530861554161 1.07800057421767 1.07339150820122 0.98185045978718 1.0968426471923 1.03187896253323 0.99711149250832 1.00827852038193 0.983586023911 1.08903980928051 1.00452647571297 0.951082827181136 0 0.940853611177337 0
"old_es032" 1.16881788817958 1.14564997720752 1.1510342367766 1.08123252353076 1.05842665371344 1.04339575992691 1.04196166475004 1.09231038391049 1.06251179633562 1.03966991477759 1.02985499356462 1.01799262433169 1.0404072593983 1.02997737307427 0.984037306887646 0.940853611177337 0 0.940853611177337
"olds_es030" 1.16884652259242 1.10514483934568 1.14688057805864 1.06530861554161 1.07800057421767 1.07339150820122 0.98185045978718 1.0968426471923 1.03187896253323 0.99711149250832 1.00827852038193 0.983586023911 1.08903980928051 1.00452647571297 0.951082827181136 0 0.940853611177337 0
