"old_es002" "old_es004" "old_es008" "old_es009" "old_es012" "old_es014" "old_es015" "old_es016" "old_es018" "old_es019" "old_es022" "old_es024" "old_es027" "old_es028" "old_es029" "old_es030" "old_es032" "olds_es030"
"old_es002" 0 0.861054389651997 1.23287092479991 1.19528394073917 1.26604175004567 1.28440384137328 1.21939362378406 1.00000171756153 1.32162191341999 1.1602673495168 1.22633418240465 1.37522580801486 1.2710626260466 1.25466797551032 1.1975111506076 1.27786760998871 1.26679160036836 1.27786760998871
"old_es004" 0.861054389651997 0 1.25420129500791 1.21266295685408 1.04654052539281 1.14896029765047 1.19540210864952 1.03237373115463 1.25424991228056 1.00836566585897 1.15840968749834 1.31690703011094 1.21243439497682 1.1235659164085 1.13233516634594 1.1570434691007 1.13335641514742 1.1570434691007
"old_es008" 1.23287092479991 1.25420129500791 0 1.01309381048718 1.22922212293128 1.08147808151458 1.18299048055224 1.1887006617599 1.0846057768279 1.14464113414915 1.16875964032457 1.13345105450146 1.23082527602199 1.17729939607087 1.11356772319127 1.20595969259623 1.21483713576397 1.20595969259623
"old_es009" 1.19528394073917 1.21266295685408 1.01309381048718 0 1.05424046534741 1.06340248888139 1.08852252311428 1.20137317851234 1.03812342221251 1.02716432347735 1.1049718786793 1.13035063452804 1.16392898081603 1.12292218602945 0.955587675495896 1.06095232303763 1.14595084150004 1.06095232303763
"old_es012" 1.26604175004567 1.04654052539281 1.22922212293128 1.05424046534741 0 0.899178331819647 1.02718607055972 1.17387715770577 1.10043885762931 0.908465161287634 1.06886818641844 1.16357960913865 1.14105846241169 1.08182523408162 1.01915121977941 1.09793499012239 1.06354530579485 1.09793499012239
"old_es014" 1.28440384137328 1.14896029765047 1.08147808151458 1.06340248888139 0.899178331819647 0 0.935259629785923 1.12092112767608 1.07396981971722 0.911233594626203 0.924366886993331 1.00368641762638 1.13578542163899 1.05572409743348 0.949405649329877 1.05407285462128 1.02190801868447 1.05407285462128
"old_es015" 1.21939362378406 1.19540210864952 1.18299048055224 1.08852252311428 1.02718607055972 0.935259629785923 0 1.13694104388717 1.19572209784903 0.978665550864883 1.08079443931751 1.0796204629468 1.09812022637753 1.12264768573183 1.00496246538402 1.06393465974286 1.14219852547637 1.06393465974286
"old_es016" 1.00000171756153 1.03237373115463 1.1887006617599 1.20137317851234 1.17387715770577 1.12092112767608 1.13694104388717 0 1.22232731547899 1.09265375767726 1.16926051387687 1.21821616965103 1.11913242591696 1.17231467368039 1.06047956267069 1.05429349534179 1.08670397893922 1.05429349534179
"old_es018" 1.32162191341999 1.25424991228056 1.0846057768279 1.03812342221251 1.10043885762931 1.07396981971722 1.19572209784903 1.22232731547899 0 1.09277564726969 1.07106585312246 1.0628845160526 1.21199678366527 0.984695833073356 1.05409831670128 1.11442552484766 1.15357803262533 1.11442552484766
"old_es019" 1.1602673495168 1.00836566585897 1.14464113414915 1.02716432347735 0.908465161287634 0.911233594626203 0.978665550864883 1.09265375767726 1.09277564726969 0 0.947417420984658 1.08689095078449 1.10219629685671 1.04758209213419 0.965144517117534 1.06535515293619 1.13679837513502 1.06535515293619
"old_es022" 1.22633418240465 1.15840968749834 1.16875964032457 1.1049718786793 1.06886818641844 0.924366886993331 1.08079443931751 1.16926051387687 1.07106585312246 0.947417420984658 0 0.990738120394413 1.09969608897557 1.06292808732889 0.941765500407956 0.999003028559875 1.0685035706374 0.999003028559875
"old_es024" 1.37522580801486 1.31690703011094 1.13345105450146 1.13035063452804 1.16357960913865 1.00368641762638 1.0796204629468 1.21821616965103 1.0628845160526 1.08689095078449 0.990738120394413 0 1.21786738065937 1.15396576044242 1.01676666872139 1.06729826073693 1.13064457502017 1.06729826073693
"old_es027" 1.2710626260466 1.21243439497682 1.23082527602199 1.16392898081603 1.14105846241169 1.13578542163899 1.09812022637753 1.11913242591696 1.21199678366527 1.10219629685671 1.09969608897557 1.21786738065937 0 1.16003533712419 1.12602714973469 1.15452109537926 1.11972127269974 1.15452109537926
"old_es028" 1.25466797551032 1.1235659164085 1.17729939607087 1.12292218602945 1.08182523408162 1.05572409743348 1.12264768573183 1.17231467368039 0.984695833073356 1.04758209213419 1.06292808732889 1.15396576044242 1.16003533712419 0 0.98809420987121 0.981897734125943 1.10095960572155 0.981897734125943
"old_es029" 1.1975111506076 1.13233516634594 1.11356772319127 0.955587675495896 1.01915121977941 0.949405649329877 1.00496246538402 1.06047956267069 1.05409831670128 0.965144517117534 0.941765500407956 1.01676666872139 1.12602714973469 0.98809420987121 0 0.878474347744449 0.972363909137715 0.878474347744449
"old_es030" 1.27786760998871 1.1570434691007 1.20595969259623 1.06095232303763 1.09793499012239 1.05407285462128 1.06393465974286 1.05429349534179 1.11442552484766 1.06535515293619 0.999003028559875 1.06729826073693 1.15452109537926 0.981897734125943 0.878474347744449 0 0.979769669213718 0
"old_es032" 1.26679160036836 1.13335641514742 1.21483713576397 1.14595084150004 1.06354530579485 1.02190801868447 1.14219852547637 1.08670397893922 1.15357803262533 1.13679837513502 1.0685035706374 1.13064457502017 1.11972127269974 1.10095960572155 0.972363909137715 0.979769669213718 0 0.979769669213718
"olds_es030" 1.27786760998871 1.1570434691007 1.20595969259623 1.06095232303763 1.09793499012239 1.05407285462128 1.06393465974286 1.05429349534179 1.11442552484766 1.06535515293619 0.999003028559875 1.06729826073693 1.15452109537926 0.981897734125943 0.878474347744449 0 0.979769669213718 0
